"";"codeplas";"code_oud";"naam";"gebied";"gebied_alt";"watertype";"watertype_alt"
"1";"ANTMRK0204";NA;"Nonnenmoer";"Hoogmoerheide";NA;"Zm";"Zs"
"2";"ANTTUR0094";"AN_TVG_006";"Zandven";NA;NA;"Zm";"-"
"3";"ANTTUR0305";NA;"Koeiven";NA;NA;"Zm";"Zs"
"4";"ANTMRK0177";NA;"Zandvenheide";"Turnhouts Vennengebied";NA;"Zm";"Czb"
"5";"ANTRAV0014";NA;"Mattenbiesven";"MD Vliegveld Weelde";NA;"Czb";"Zm"
"6";"ANTRAV0175";NA;"Leiven";NA;NA;"Zs";"(Zm)"
"7";"ANTRAV0188";NA;"Klotgoor";"Gewestbos Ravels";NA;"Zm";"(Zs)"
"8";"ANTRAV0208";NA;"De Lei midden";"De Lei";NA;"Zm";"Zs"
"9";"ANTTUR0022";NA;"Koeven zuid";NA;NA;"Zm";"Zs"
"10";"ANTTUR0046";NA;"Langven";"Ravelse Bergen";NA;"Zm";"-"
"11";"ANTTUR0270";NA;"Hoge Heide";"Ravels Kamp";NA;"Czb";"Zm"
"12";"ANTTUR0277";NA;"Grote Klotteraard noordwest";"Turnhouts Vennengebied";NA;"Zm";"Czb"
"13";"ANTTUR0282";NA;"Zandvenheide zuid";"Zandvenheide";NA;"Zm";"Czb"
"14";"ANTTUR0287";NA;"Klotteraard";"Turnhouts Vennengebied";NA;"Czb";"Zm"
"15";"ANTTUR0295";NA;"Zwarte Ooievaarsven";"Turnhouts Vennengebied";NA;"Zm";"Zs"
"16";"ANTTUR0300";NA;"Kleine Klotteraard west";"Turnhouts Vennengebied";NA;"Zm";"-"
"17";"ANTTUR0302";NA;"Grote Klotteraard noordoost";"Turnhouts Vennengebied";NA;"Zm";"-"
"18";"ANTMRK0206";NA;"Hoogmoerheide";"Hoogmoerheide";NA;"Zs";"(Zm)"
"19";"ANTTUR0018";NA;"Zwart Water noordwest";"Turnhouts Vennengebied";NA;"Zs";"(Zm)"
"20";"ANTTUR0077";NA;"Zwart Water west";"Turnhouts Vennengebied";NA;"Zm";"-"
"21";"ANTTUR0079";NA;"Weversgoor";"Weversgoor";NA;"Czb";"Zm"
"22";"ANTTUR0273";NA;"Ravels Kamp";"Ravels Kamp";NA;"Zm";"-"
"23";"ANTTUR0292";NA;"Haverven west";"Turnhouts Vennengebied";NA;"Zm";"(Zs)"
"24";"ANTTUR0297";NA;"Haverven noordwest";"Turnhouts Vennengebied";NA;"Zm";"-"
"25";"ANTTUR0299";NA;"Baanven oost";"Turnhouts Vennengebied";NA;"Zm";"-"
"26";"ANTRAV0122";NA;"Klein Speeksel";"Klein Ravels";NA;"Zm";"(Zs)"
"27";"ANTRAV0381";"AN_TUR_002";"Kanaalplas Ravels industrie";NA;NA;"Ami";NA
"28";"ANTRAV0211";NA;"Kanaalplas Zwartwater";NA;NA;"Aw-om";"Ami-om"
"29";"ANTTUR0065";"AN_TVG_003";"Zwart Water";"Turnhouts Vennengebied";NA;"Zm";"-"
"30";"ANTTUR0082";"AN_TVG_004";"Zwart Water zuidoost";"Turnhouts Vennengebied";NA;"Zm";"-"
"31";"ANTOTH0015";"AN_TUR_001";"Pannefabriek";"Pannefabriek";NA;"Zm";"CFe"
"32";"ANTRAV0052";"AN_BOG_001";"De Bogaard";"Overheide";NA;"Czb";"Cb"
"33";"ANTARE0025";"AN_RAV_002";"Witgoor oost";"Witgoor";NA;"Zm";"Cb"
"34";"ANTRAV0230";"AN_KVD_003";"Kesseven";"Gewestbos Ravels";NA;"Zm";"(Czb)"
"35";"ANTTUR0257";"AN_TVG_007";"Peerdsven";"Nieuwe bossen";NA;"Zm";"Zs"
"36";"ANTARE0309";"AN_GRD_003";"Rode Del";"Het Goorken";NA;"Cb";"-"
"37";"ANTRAV0293";"AN_KVD_002";"Kijkverdriet";"Kijkverdriet";NA;"Zm";"CFe"
"38";"ANTRAV0296";"AN_RAV_004";"Zwartgoor";"Gewestbos Ravels";NA;"Zs";"(Zm)"
"39";"ANTRAV0297";"AN_RAV_001";"Klein Poeierling west";"Gewestbos Ravels";NA;"Zm";"Zs"
"40";"ANTTUR0296";"AN_TVG_005";"Haverven";"Turnhouts Vennengebied";NA;"Zm";"-"
"41";"ANTTUR0301";"AN_TVG_001";"Kleine Klotteraard oost";"Turnhouts Vennengebied";NA;"Zm";"-"
"42";"ANTTUR0304";"AN_TVG_002";"Grote Klotteraard";"Turnhouts Vennengebied";NA;"Zm";"-"
"43";"ANTOTH0270";"AN_LDL_003";"De Liereman";"Landschap De Liereman";NA;"Zs";"(Zm)"
"44";"ANTOTH0271";"AN_LDL_001";"De Liereman west";"Landschap De Liereman";NA;"Zs";"(Zm)"
"45";"ANTBAA0036";"AN_MOE_001";"Het Moer";"Moer";NA;"CFe";"Cb"
"46";"ANTOTH0306";"AN_LDL_002";"Heide Van Damme";"Heide Van Damme";NA;"Zm";"Czb"
"47";"ANTRAV0369";"AN_RAV_003";"De Bogaart";"De Bogaart";NA;"Czb";"Cb"
"48";"ANTOTH0324";"AN_LDL_004";"Hoge Mierdse Heide";"Landschap De Liereman";NA;"Zm";"Czb"
"49";"ANTTUR0674";NA;"Modderven";NA;NA;"Cb";NA
