Locatie,2024,2022-2023,< 2020,"Indien < 2020, welk jaar"
ANTTUR0674,onvolledig,ja,nee,
ANTTUR0305,,ja,,
ANTTUR0304,onvolledig,ja,ja,2014
ANTTUR0302,,ja,,
ANTTUR0301,,ja,ja,2014
ANTTUR0300,,ja,,
ANTTUR0299,ja,ja,,
ANTTUR0297,ja,ja,,
ANTTUR0296,onvolledig,ja,ja,2015-2016
ANTTUR0295,onvolledig,ja,,
ANTTUR0292,ja,ja,,
ANTTUR0287,onvolledig,ja,,
ANTTUR0282,ja,ja,,
ANTTUR0277,onvolledig,ja,,
ANTTUR0273,,ja,,
ANTTUR0270,,ja,,
ANTTUR0257,,ja,,
ANTTUR0094,,ja,ja,2018-2019
ANTTUR0082,onvolledig,ja,ja,2015-2016
ANTTUR0079,,ja,,
ANTTUR0077,onvolledig,ja,,
ANTTUR0065,onvolledig,ja,ja,2015
ANTTUR0046,,ja,,
ANTTUR0022,,ja,,
ANTTUR0018,,ja,,
ANTRAV0381,,,ja,2016-2017
ANTRAV0369,,,ja,2017-2018
ANTRAV0297,,,ja,2017-2018
ANTRAV0296,,,ja,2018-2019
ANTRAV0293,,ja,ja,2017-2018
ANTRAV0230,,ja,ja,2017-2018
ANTRAV0211,onvolledig,ja,,
ANTRAV0208,,ja,,
ANTRAV0188,,ja,,
ANTRAV0175,,ja,,
ANTRAV0122,,ja,,
ANTRAV0052,,ja,ja,2015-2016
ANTRAV0014,ja,ja,,
ANTOTH0324,,ja,ja,2017-2018
ANTOTH0306,,ja,ja,2015-2016
ANTOTH0271,,ja,ja,2015
ANTOTH0270,,,ja,2015-2016
ANTOTH0015,,,ja,2015
ANTMRK0206,,ja,,
ANTMRK0204,,ja,,
ANTMRK0177,,ja,,
ANTBAA0036,,,ja,2016-2017
ANTARE0309,,,ja,2017-2018
ANTARE0025,,,ja,2017-2018
