"";"codeplas";"Alk_mean";"Alk_min";"Alk_max";"Alk_bereik"
"1";"ANTMRK0177";0,123320222877745;0,0409701737135365;0,234841035725991;"0.0409701737135365 - 0.234841035725991"
"2";"ANTMRK0204";0,186154812629739;0,133726647000983;0,252704031465093;"0.133726647000983 - 0.252704031465093"
"3";"ANTMRK0206";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"4";"ANTOTH0271";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"5";"ANTOTH0306";0,0529185661929025;0,0409701737135365;0,118321861684694;"0.0409701737135365 - 0.118321861684694"
"6";"ANTOTH0324";0,0446165191740413;0,0409701737135365;0,0847263192395936;"0.0409701737135365 - 0.0847263192395936"
"7";"ANTRAV0014";0,186796678684584;0,159783677482793;0,239757456571616;"0.159783677482793 - 0.239757456571616"
"8";"ANTRAV0052";0,359363050366;0,138643067846608;0,54900032776139;"0.138643067846608 - 0.54900032776139"
"9";"ANTRAV0122";0,0738952951342332;0,0409701737135365;0,102589314978696;"0.0409701737135365 - 0.102589314978696"
"10";"ANTRAV0175";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"11";"ANTRAV0188";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"12";"ANTRAV0208";0,0648557849885284;0,0409701737135365;0,133890527695837;"0.0409701737135365 - 0.133890527695837"
"13";"ANTRAV0211";0,406424123238282;0,197803998688954;0,692723697148476;"0.197803998688954 - 0.692723697148476"
"14";"ANTRAV0230";0,055089125885586;0,0409701737135365;0,22451655195018;"0.0409701737135365 - 0.22451655195018"
"15";"ANTRAV0293";0,0989019993444773;0,0409701737135365;0,299082268108817;"0.0409701737135365 - 0.299082268108817"
"16";"ANTTUR0018";0,0474119456420341;0,0409701737135365;0,124713208784005;"0.0409701737135365 - 0.124713208784005"
"17";"ANTTUR0022";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"18";"ANTTUR0046";0,0543041029766693;0,0409701737135365;0,187643395607997;"0.0409701737135365 - 0.187643395607997"
"19";"ANTTUR0065";0,166762263738665;0,0409701737135365;0,291215994755818;"0.0409701737135365 - 0.291215994755818"
"20";"ANTTUR0077";0,158991587457664;0,111438872500819;0,209275647328745;"0.111438872500819 - 0.209275647328745"
"21";"ANTTUR0079";0,227198236047793;0,0409701737135365;0,45099967223861;"0.0409701737135365 - 0.45099967223861"
"22";"ANTTUR0082";1,48101505181151;0,899705014749262;2,13929859062602;"0.899705014749262 - 2.13929859062602"
"23";"ANTTUR0094";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"24";"ANTTUR0257";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"25";"ANTTUR0270";0,338860582223414;0,148148148148148;0,754834480498197;"0.148148148148148 - 0.754834480498197"
"26";"ANTTUR0273";0,0824021930216622;0,0409701737135365;0,164372336938709;"0.0409701737135365 - 0.164372336938709"
"27";"ANTTUR0277";0,225049164208456;0,0409701737135365;0,801212717141921;"0.0409701737135365 - 0.801212717141921"
"28";"ANTTUR0282";0,0533226810881678;0,0409701737135365;0,0906260242543428;"0.0409701737135365 - 0.0906260242543428"
"29";"ANTTUR0287";0,67319209797086;0,307767944936087;1,59668960996395;"0.307767944936087 - 1.59668960996395"
"30";"ANTTUR0292";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"31";"ANTTUR0295";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"32";"ANTTUR0296";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"33";"ANTTUR0297";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"34";"ANTTUR0299";1,10925379656943;0,649295313012127;1,71370042608981;"0.649295313012127 - 1.71370042608981"
"35";"ANTTUR0300";0,213563858844095;0,121435594886922;0,309734513274336;"0.121435594886922 - 0.309734513274336"
"36";"ANTTUR0301";0,0876761717469681;0,0409701737135365;0,160603080957063;"0.0409701737135365 - 0.160603080957063"
"37";"ANTTUR0302";0,0489047306893915;0,0409701737135365;0,0950508030154048;"0.0409701737135365 - 0.0950508030154048"
"38";"ANTTUR0304";0,0409701737135365;0,0409701737135365;0,0409701737135365;"0.0409701737135365 - 0.0409701737135365"
"39";"ANTTUR0305";0,274172402490986;0,0409701737135365;0,527040314650934;"0.0409701737135365 - 0.527040314650934"
"40";"ANTTUR0674";0,254902764121053;0,172074729596853;0,391347099311701;"0.172074729596853 - 0.391347099311701"
