"";"codeplas";"Ca_maxzomer"
"1";"ANTMRK0177";3,61
"2";"ANTMRK0204";2,71
"3";"ANTMRK0206";18,85
"4";"ANTOTH0271";3,58
"5";"ANTOTH0306";1,86
"6";"ANTOTH0324";1,75
"7";"ANTRAV0014";3,02
"8";"ANTRAV0052";12,63
"9";"ANTRAV0122";1,17
"10";"ANTRAV0175";1,23
"11";"ANTRAV0188";8,28
"12";"ANTRAV0208";4,1
"13";"ANTRAV0211";17,98
"14";"ANTRAV0230";3,54
"15";"ANTRAV0293";10,36
"16";"ANTTUR0018";4,37
"17";"ANTTUR0022";0,91
"18";"ANTTUR0046";2,44
"19";"ANTTUR0065";8,71
"20";"ANTTUR0077";5,98
"21";"ANTTUR0079";10,36
"22";"ANTTUR0082";36,35
"23";"ANTTUR0094";4,68
"24";"ANTTUR0257";1,29
"25";"ANTTUR0270";9,39
"26";"ANTTUR0273";2,73
"27";"ANTTUR0277";14,96
"28";"ANTTUR0282";3,49
"29";"ANTTUR0287";33,26
"30";"ANTTUR0292";3,78
"31";"ANTTUR0295";0,95
"32";"ANTTUR0296";4,14
"33";"ANTTUR0297";3,76
"34";"ANTTUR0299";25,08
"35";"ANTTUR0300";9,29
"36";"ANTTUR0301";3,31
"37";"ANTTUR0302";3,86
"38";"ANTTUR0304";3,05
"39";"ANTTUR0305";1,63
"40";"ANTTUR0674";8,34
