,codeplas,Ca_max,SO4_gem,Na_max,Cl_90p,Cl_max,NO2_N_gem,NO_2_max,Alk_mean,Alk_max,Alk_min,Alk_bereik,EGV_90p,sal_max
1,ANTMRK0177,3.61,2.794166667,12.11,20.037,25.99,0.00304414,0.00304414,0.123320223,0.040970174,0.234841036,0.0409701737135365 - 0.234841035725991,117.52,0
2,ANTMRK0204,2.81,0.666666667,3.3,4.879,6.06,0.00608828,0.02739726,0.186154813,0.133726647,0.252704031,0.133726647000983 - 0.252704031465093,56.38,0
3,ANTMRK0206,18.85,87.26833333,37.16,62.628,68.38,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,494.3,0.2
4,ANTRAV0014,3.77,0.405833333,3.52,2.944,4.08,0.00304414,0.00304414,0.207937288,0.159783677,0.248443133,0.159783677482793 - 0.248443133398886,43.9,0
5,ANTRAV0122,1.17,0.08,2.91,5.05,5.06,0.00304414,0.00304414,0.073895295,0.040970174,0.102589315,0.0409701737135365 - 0.102589314978696,36.2,0
6,ANTRAV0175,1.56,1.828333333,5.54,6.23,8.07,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,56.69,0
7,ANTRAV0188,9.53,22.40333333,13.75,22.409,24.67,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,201.28,0
8,ANTRAV0208,6.57,13.31333333,12.56,21.51,23.81,0.00304414,0.00304414,0.064855785,0.040970174,0.133890528,0.0409701737135365 - 0.133890527695837,136.92,0
9,ANTRAV0211,17.98,28.80461538,14.73,18.93,22.97,0.00304414,0.00304414,0.402037163,0.197803999,0.692723697,0.197803998688954 - 0.692723697148476,204.62,0
10,ANTRAV0230,4.62,7.0672,7.88,11.042,12.6,0.006453577,0.0152207,0.033444772,0.009996722,0.224516552,0.0099967223861029 - 0.22451655195018,70.54,0
11,ANTRAV0293,46.97,67.13227273,9.19,10.613,13.13,0.0069185,0.0152207,0.146971187,0.009996722,1.029662406,0.0099967223861029 - 1.0296624057686,493.5,0.3
12,ANTTUR0018,6.61,6.907692308,19.48,19.678,32.32,0.00304414,0.00304414,0.047411946,0.040970174,0.124713209,0.0409701737135365 - 0.124713208784005,122.84,0
13,ANTTUR0022,1.14,1.432727273,6.73,8.6,10.77,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,50.6,0.1
14,ANTTUR0046,9,3.392727273,6.61,11.57,13.09,0.00304414,0.00304414,0.054304103,0.040970174,0.187643396,0.0409701737135365 - 0.187643395607997,64.4,0
15,ANTTUR0065,8.71,13.45263158,24.58,35.962,41.24,0.007209805,0.0152207,0.136184857,0.027040315,0.291215995,0.0270403146509341 - 0.291215994755818,187.77,0
16,ANTTUR0077,6.1,6.12,22.22,25.192,36.21,0.003278305,0.00608828,0.165166528,0.111438873,0.239265814,0.111438872500819 - 0.239265814487053,136.68,0
17,ANTTUR0079,12.62,22.97727273,9.49,11.47,13.27,0.00359762,0.00608828,0.227198236,0.040970174,0.450999672,0.0409701737135365 - 0.45099967223861,159.7,0
18,ANTTUR0082,54.63,16.9312,65.92,59.47,107.8,0.010471842,0.02435312,1.440452809,0.709439528,2.139298591,0.709439528023599 - 2.13929859062602,420.6,0.2
19,ANTTUR0094,9.48,18.902,18.29,24.042,37.65,0.008401826,0.03652968,0.025427729,0.009996722,0.040970174,0.0099967223861029 - 0.0409701737135365,166.8,0
20,ANTTUR0270,9.39,0.338181818,3.97,5.1,5.54,0.00304414,0.00304414,0.338860582,0.148148148,0.75483448,0.148148148148148 - 0.754834480498197,93.4,0
21,ANTTUR0273,3.12,0.503636364,3.43,4.6,5.16,0.00304414,0.00304414,0.082402193,0.040970174,0.164372337,0.0409701737135365 - 0.164372336938709,41.5,0
22,ANTTUR0277,14.96,7.306923077,25.95,26.29,49.71,0.00304414,0.00304414,0.225049164,0.040970174,0.801212717,0.0409701737135365 - 0.801212717141921,189.01,0
23,ANTTUR0282,3.49,1.402857143,3.68,7.396,8.97,0.00304414,0.00304414,0.051400009,0.040970174,0.090626024,0.0409701737135365 - 0.0906260242543428,44.56,0
24,ANTTUR0287,33.26,54.1275,58.44,47.834,126.27,0.028665652,0.112633181,0.673358462,0.307767945,1.59668961,0.307767944936087 - 1.59668960996395,472.1,0.3
25,ANTTUR0292,3.78,0.488571429,14.49,19.857,23.86,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,88.78,0
26,ANTTUR0295,1.16,1.727692308,5.35,5.9,10.24,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,40.01,0
27,ANTTUR0296,6.57,6.697083333,14.64,21.863,25.07,0.00913242,0.0152207,0.054503988,0.020157325,0.119632907,0.02015732546706 - 0.119632907243527,119.37,0
28,ANTTUR0297,3.76,2.282142857,4.96,8.992,9.85,0.00304414,0.00304414,0.040970174,0.040970174,0.040970174,0.0409701737135365 - 0.0409701737135365,55.26,0
29,ANTTUR0299,25.08,6.635,31.49,28.565,38.67,0.007800609,0.03652968,0.954287529,0.545394952,1.713700426,0.545394952474598 - 1.71370042608981,279.2,0.1
30,ANTTUR0300,9.73,12.44166667,16.63,23.183,27.23,0.00304414,0.00304414,0.213563859,0.121435595,0.309734513,0.121435594886922 - 0.309734513274336,159.91,0
31,ANTTUR0301,29.13,16.15833333,10.35,15.749,17.45,0.007102993,0.0152207,0.066681234,0.010242543,0.160603081,0.0102425434283842 - 0.160603080957063,95.74,0.1
32,ANTTUR0302,3.86,4.875833333,9.41,10.64,18.69,0.00304414,0.00304414,0.048904731,0.040970174,0.095050803,0.0409701737135365 - 0.0950508030154048,68.02,0
33,ANTTUR0304,8.3,14.07,12.38,19.815,24.05,0.007102993,0.0152207,0.033144871,0.010242543,0.040970174,0.0102425434283842 - 0.0409701737135365,137.82,0
34,ANTTUR0305,1.63,8.736666667,19.06,27.415,40.57,0.019025875,0.060882801,0.274172402,0.040970174,0.527040315,0.0409701737135365 - 0.527040314650934,221.3,0.1
