"","codeplas","Cl_max","Cl_90p"
"1","ANTARE0025",21.46,21.318
"2","ANTARE0309",60.64,46.687
"3","ANTBAA0036",93.71,81.975
"4","ANTMRK0177",25.99,20.037
"5","ANTMRK0204",6.06,4.879
"6","ANTMRK0206",68.38,62.628
"7","ANTOTH0015",21.82,20.265
"8","ANTOTH0270",26.38,15.805
"9","ANTOTH0271",21.51,17.012
"10","ANTOTH0306",11.04,9.242
"11","ANTOTH0324",19.88,16.47
"12","ANTRAV0014",4.08,2.944
"13","ANTRAV0052",25.75,21.018
"14","ANTRAV0122",5.06,5.05
"15","ANTRAV0175",8.07,6.23
"16","ANTRAV0188",24.67,22.409
"17","ANTRAV0208",23.81,21.51
"18","ANTRAV0211",22.97,18.93
"19","ANTRAV0230",12.6,11.042
"20","ANTRAV0293",13.13,10.613
"21","ANTRAV0296",18.49,18.147
"22","ANTRAV0297",34.65,33.455
"23","ANTRAV0369",30.39,29.142
"24","ANTRAV0381",19.69,19.557
"25","ANTTUR0018",32.32,19.678
"26","ANTTUR0022",10.77,8.6
"27","ANTTUR0046",13.09,11.57
"28","ANTTUR0065",41.24,35.931
"29","ANTTUR0077",36.21,25.192
"30","ANTTUR0079",13.27,11.47
"31","ANTTUR0082",107.8,58.71
"32","ANTTUR0094",37.65,24.042
"33","ANTTUR0257",7.82,7.019
"34","ANTTUR0270",5.54,5.1
"35","ANTTUR0273",5.16,4.6
"36","ANTTUR0277",49.71,26.29
"37","ANTTUR0282",8.97,7.396
"38","ANTTUR0287",126.27,47.834
"39","ANTTUR0292",23.86,19.857
"40","ANTTUR0295",10.24,5.9
"41","ANTTUR0296",25.07,21.474
"42","ANTTUR0297",9.85,8.992
"43","ANTTUR0299",38.67,28.565
"44","ANTTUR0300",27.23,23.183
"45","ANTTUR0301",17.45,15.749
"46","ANTTUR0302",18.69,10.64
"47","ANTTUR0304",24.05,19.405
"48","ANTTUR0305",40.57,27.415
"49","ANTTUR0674",32.45,15.968
