"";"codeplas";"Cl_max_zomer"
"1";"ANTARE0025";21,34
"2";"ANTARE0309";60,64
"3";"ANTBAA0036";82,32
"4";"ANTMRK0177";25,99
"5";"ANTMRK0204";6,06
"6";"ANTMRK0206";68,38
"7";"ANTOTH0015";21,82
"8";"ANTOTH0270";14,63
"9";"ANTOTH0271";21,51
"10";"ANTOTH0306";11,04
"11";"ANTOTH0324";16,47
"12";"ANTRAV0014";4,08
"13";"ANTRAV0052";25,75
"14";"ANTRAV0122";5,06
"15";"ANTRAV0175";8,07
"16";"ANTRAV0188";24,67
"17";"ANTRAV0208";23,81
"18";"ANTRAV0211";22,97
"19";"ANTRAV0230";12,6
"20";"ANTRAV0293";10,95
"21";"ANTRAV0296";18,49
"22";"ANTRAV0297";34,65
"23";"ANTRAV0369";29,15
"24";"ANTRAV0381";19,6
"25";"ANTTUR0018";20,55
"26";"ANTTUR0022";10,77
"27";"ANTTUR0046";13,09
"28";"ANTTUR0065";41,24
"29";"ANTTUR0077";36,21
"30";"ANTTUR0079";13,27
"31";"ANTTUR0082";107,8
"32";"ANTTUR0094";31,73
"33";"ANTTUR0257";7,82
"34";"ANTTUR0270";5,54
"35";"ANTTUR0273";5,16
"36";"ANTTUR0277";49,71
"37";"ANTTUR0282";8,97
"38";"ANTTUR0287";126,27
"39";"ANTTUR0292";23,86
"40";"ANTTUR0295";10,24
"41";"ANTTUR0296";25,07
"42";"ANTTUR0297";9,1
"43";"ANTTUR0299";38,67
"44";"ANTTUR0300";27,23
"45";"ANTTUR0301";17,45
"46";"ANTTUR0302";18,69
"47";"ANTTUR0304";24,05
"48";"ANTTUR0305";40,57
"49";"ANTTUR0674";32,45
