"";"codeplas";"Cl_maxzomer"
"1";"ANTMRK0177";25,99
"2";"ANTMRK0204";6,06
"3";"ANTMRK0206";68,38
"4";"ANTOTH0271";21,51
"5";"ANTOTH0306";7,95
"6";"ANTOTH0324";16,47
"7";"ANTRAV0014";4,08
"8";"ANTRAV0052";25,75
"9";"ANTRAV0122";5,06
"10";"ANTRAV0175";8,07
"11";"ANTRAV0188";24,67
"12";"ANTRAV0208";23,81
"13";"ANTRAV0211";22,97
"14";"ANTRAV0230";12,6
"15";"ANTRAV0293";8,71
"16";"ANTTUR0018";20,55
"17";"ANTTUR0022";10,77
"18";"ANTTUR0046";13,09
"19";"ANTTUR0065";41,24
"20";"ANTTUR0077";36,21
"21";"ANTTUR0079";13,27
"22";"ANTTUR0082";62,51
"23";"ANTTUR0094";31,73
"24";"ANTTUR0257";7,82
"25";"ANTTUR0270";5,54
"26";"ANTTUR0273";5,16
"27";"ANTTUR0277";49,71
"28";"ANTTUR0282";8,97
"29";"ANTTUR0287";126,27
"30";"ANTTUR0292";23,86
"31";"ANTTUR0295";10,24
"32";"ANTTUR0296";25,07
"33";"ANTTUR0297";9,1
"34";"ANTTUR0299";38,67
"35";"ANTTUR0300";27,23
"36";"ANTTUR0301";17,45
"37";"ANTTUR0302";18,69
"38";"ANTTUR0304";24,05
"39";"ANTTUR0305";40,57
"40";"ANTTUR0674";32,45
