"";"codeplas";"EGV_90p"
"1";"ANTARE0025";310,8
"2";"ANTARE0309";260,7
"3";"ANTBAA0036";524,6
"4";"ANTMRK0177";117,52
"5";"ANTMRK0204";56,38
"6";"ANTMRK0206";494,3
"7";"ANTOTH0015";122,65
"8";"ANTOTH0270";274,4
"9";"ANTOTH0271";110,9
"10";"ANTOTH0306";71,99
"11";"ANTOTH0324";77
"12";"ANTRAV0014";43,9
"13";"ANTRAV0052";201,34
"14";"ANTRAV0122";36,2
"15";"ANTRAV0175";56,69
"16";"ANTRAV0188";201,28
"17";"ANTRAV0208";136,92
"18";"ANTRAV0211";204,62
"19";"ANTRAV0230";70,54
"20";"ANTRAV0293";493,5
"21";"ANTRAV0296";382,3
"22";"ANTRAV0297";159,8
"23";"ANTRAV0369";362,7
"24";"ANTRAV0381";417
"25";"ANTTUR0018";122,84
"26";"ANTTUR0022";50,6
"27";"ANTTUR0046";64,4
"28";"ANTTUR0065";187,77
"29";"ANTTUR0077";136,68
"30";"ANTTUR0079";159,7
"31";"ANTTUR0082";420,6
"32";"ANTTUR0094";166,8
"33";"ANTTUR0257";43,25
"34";"ANTTUR0270";93,4
"35";"ANTTUR0273";41,5
"36";"ANTTUR0277";189,01
"37";"ANTTUR0282";44,56
"38";"ANTTUR0287";472,1
"39";"ANTTUR0292";88,78
"40";"ANTTUR0295";40,01
"41";"ANTTUR0296";119,37
"42";"ANTTUR0297";55,26
"43";"ANTTUR0299";279,2
"44";"ANTTUR0300";159,91
"45";"ANTTUR0301";95,74
"46";"ANTTUR0302";68,02
"47";"ANTTUR0304";137,14
"48";"ANTTUR0305";221,3
"49";"ANTTUR0674";116,1
