"";"codeplas";"EGV_90p"
"1";"ANTMRK0177";117,52
"2";"ANTMRK0204";56,38
"3";"ANTMRK0206";494,3
"4";"ANTOTH0271";107,5
"5";"ANTOTH0306";56,6
"6";"ANTOTH0324";74,86
"7";"ANTRAV0014";40,65
"8";"ANTRAV0052";198,95
"9";"ANTRAV0122";36,2
"10";"ANTRAV0175";56,69
"11";"ANTRAV0188";201,28
"12";"ANTRAV0208";136,92
"13";"ANTRAV0211";206,31
"14";"ANTRAV0230";79,58
"15";"ANTRAV0293";405,8
"16";"ANTTUR0018";122,84
"17";"ANTTUR0022";50,6
"18";"ANTTUR0046";64,4
"19";"ANTTUR0065";190,11
"20";"ANTTUR0077";136,74
"21";"ANTTUR0079";159,7
"22";"ANTTUR0082";352,4
"23";"ANTTUR0094";172,05
"24";"ANTTUR0257";43,25
"25";"ANTTUR0270";93,4
"26";"ANTTUR0273";41,5
"27";"ANTTUR0277";189,01
"28";"ANTTUR0282";43,9
"29";"ANTTUR0287";473
"30";"ANTTUR0292";94,54
"31";"ANTTUR0295";39,2
"32";"ANTTUR0296";90,71
"33";"ANTTUR0297";56,13
"34";"ANTTUR0299";290,8
"35";"ANTTUR0300";159,91
"36";"ANTTUR0301";99,54
"37";"ANTTUR0302";68,02
"38";"ANTTUR0304";141,22
"39";"ANTTUR0305";221,3
"40";"ANTTUR0674";118,2
