,codeplas,pH_min,pH_max,pH_bereik,O2_10p,O2_verz_max,Temp_max,SD_zhjgem,WD_gem,WD_max,WD_min,WD_zhjgem,ZS105_gem,ZS105_zhjgem,ABS440_gem
1,ANTMRK0177,5.74,7.48,5.74 - 7.48,9.773,150,26.1,0.416666667,0.809166667,1.19,0.34,0.701666667,0.050416667,0.082583333,0.0465
2,ANTMRK0204,5.615,6.91,5.615 - 6.91,6.23,139.9,24.8,0.388333333,0.705,1.04,0.27,0.613333333,0.015791667,0.019083333,0.13205
3,ANTMRK0206,3.71,4.67,3.71 - 4.67,8.873,121.8,25.6,1.141666667,1.130833333,1.35,0.8,1.141666667,0.0125,0.0125,0.004108333
4,ANTRAV0014,6.03,7.708,6.03 - 7.708,9.63,135.4,28.8,0.6,0.850833333,1.07,0.6,0.793333333,0.0125,0.0125,0.059208333
5,ANTRAV0122,5.688,8.545,5.688 - 8.545,9.77,152.8,27.6,0.362,0.891818182,1.15,0.72,0.826,0.029363636,0.0444,0.034890909
6,ANTRAV0175,4.184,4.59,4.184 - 4.59,9.095,144.6,29.3,0.425,0.52,0.75,0.19,0.425,0.013958333,0.015416667,0.068625
7,ANTRAV0188,4.128,6.2,4.128 - 6.2,9.162,132.7,28.9,0.493333333,0.535833333,0.81,0.2,0.493333333,0.013625,0.0125,0.009491667
8,ANTRAV0208,4.802,5.986,4.802 - 5.986,4.002,72.8,28.7,0.586666667,0.653333333,0.92,0.31,0.586666667,0.0125,0.0125,0.057541667
9,ANTRAV0211,6.925,9.729,6.925 - 9.729,10.918,150.1,27.6,1.018571429,1.093076923,1.26,0.8,1.102857143,0.0125,0.0125,0.012453846
10,ANTRAV0230,4.96,6.705,4.96 - 6.705,8.896,114,28.2,0.824615385,0.8416,1.12,0.6,0.824615385,0.01324,0.0125,0.010216
11,ANTRAV0293,3.122,6.53,3.122 - 6.53,4.442,139.4,32.5,0.253,0.397727273,0.77,0.1,0.318,0.021204545,0.03165,0.070304545
12,ANTTUR0018,4.17,6.966,4.17 - 6.966,9.056,121.4,29.5,0.371428571,0.470769231,0.68,0.2,0.428571429,0.0125,0.0125,0.022284615
13,ANTTUR0022,4.57,5.215,4.57 - 5.215,8.42,128.3,26.8,0.408333333,0.466363636,0.67,0.27,0.408333333,0.0125,0.0125,0.042672727
14,ANTTUR0046,5.3,6.4,5.3 - 6.4,8.86,115.3,27.2,0.278,0.480909091,0.83,0.22,0.4,0.0125,0.0125,0.038609091
15,ANTTUR0065,4.258,7.54,4.258 - 7.54,8.185,114.5,24.9,0.693333333,0.721176471,0.92,0.43,0.693333333,0.0125,0.0125,0.023925
16,ANTTUR0077,5.812,7.135,5.812 - 7.135,8.244,117.5,29.1,0.648333333,0.661538462,0.79,0.42,0.648333333,0.0125,0.0125,0.040933333
17,ANTTUR0079,6.34,8.697,6.34 - 8.697,9.76,153.4,27.4,0.666,0.747272727,1.33,0.19,0.666,0.0125,0.0125,0.023127273
18,ANTTUR0082,6.68,9.134,6.68 - 9.134,6.13,156.3,25.2,0.458,0.556818182,1,0.25,0.484545455,0.018173913,0.023375,0.044265217
19,ANTTUR0094,4.289,6.09,4.289 - 6.09,8.028,111.1,26.3,0.341666667,0.3908,0.65,0.05,0.348333333,0.05428,0.034791667,0.012232
20,ANTTUR0270,6.751,8.308,6.751 - 8.308,10.22,134.6,30.3,0.498,0.576363636,0.98,0.32,0.498,0.0125,0.0125,0.024272727
21,ANTTUR0273,5.579,6.339,5.579 - 6.339,7.47,119.4,29.9,0.764,0.870909091,1.36,0.47,0.82,0.0125,0.0125,0.035527273
22,ANTTUR0277,5.531,7.742,5.531 - 7.742,9.136,123,27.8,0.531666667,0.630833333,0.9,0.18,0.531666667,0.0125,0.0125,0.028925
23,ANTTUR0282,5.085,6.79,5.085 - 6.79,8.018,138,28.9,0.365,0.380714286,0.51,0.21,0.365,0.0125,0.0125,0.028378571
24,ANTTUR0287,6.79,8.854,6.79 - 8.854,9.665,165.7,27.4,0.46,0.545454545,0.91,0.17,0.46,0.015454545,0.019,0.062009091
25,ANTTUR0292,5.38,7.692,5.38 - 7.692,8.768,135.5,31.7,0.47125,0.417142857,0.76,0.24,0.47125,0.0125,0.0125,0.024264286
26,ANTTUR0295,4.68,4.956,4.68 - 4.956,9.051,122.3,27.2,0.588333333,0.643333333,0.98,0.24,0.588333333,0.0125,0.0125,0.024108333
27,ANTTUR0296,4.444,7.289,4.444 - 7.289,8.898,119.6,25,0.515,0.5545,0.73,0.33,0.515,0.022416667,0.013461538,0.0359875
28,ANTTUR0297,4.51,5.31,4.51 - 5.31,8.874,129.1,30.5,0.3025,0.325,0.45,0.2,0.3025,0.0125,0.0125,0.032335714
29,ANTTUR0299,6.15,7.67,6.15 - 7.67,5.48,97.7,26.9,0.687777778,1.024375,1.21,0.46,0.953333333,0.0125,0.0125,0.065513333
30,ANTTUR0300,6.04,7.71,6.04 - 7.71,7.78,145.3,24.4,0.301666667,0.791666667,1.06,0.59,0.728333333,0.018916667,0.021916667,0.065991667
31,ANTTUR0301,3.57,6.742,3.57 - 6.742,8.364,116.3,26.7,0.606666667,0.848125,1.25,0.49,0.837777778,0.0125,0.0125,0.044358333
32,ANTTUR0302,5.67,6.97,5.67 - 6.97,8.97,143.4,30.7,0.406666667,0.501666667,0.78,0.25,0.48,0.0125,0.0125,0.038258333
33,ANTTUR0304,4.329,6.14,4.329 - 6.14,7.714,114.9,25.6,0.488888889,0.643125,0.85,0.43,0.628888889,0.014444444,0.013818182,0.0307
