"";"codeplas";"Mg_gem"
"1";"ANTMRK0177";0,735
"2";"ANTMRK0204";1,39666666666667
"3";"ANTMRK0206";4,165
"4";"ANTOTH0271";0,836363636363636
"5";"ANTOTH0306";0,770909090909091
"6";"ANTOTH0324";0,649166666666667
"7";"ANTRAV0014";1,275
"8";"ANTRAV0052";3,98
"9";"ANTRAV0122";0,574545454545455
"10";"ANTRAV0175";0,5675
"11";"ANTRAV0188";1,41416666666667
"12";"ANTRAV0208";1,98416666666667
"13";"ANTRAV0211";3,20333333333333
"14";"ANTRAV0230";0,683076923076923
"15";"ANTRAV0293";3,584
"16";"ANTTUR0018";0,816923076923077
"17";"ANTTUR0022";0,46
"18";"ANTTUR0046";1,07636363636364
"19";"ANTTUR0065";1,90166666666667
"20";"ANTTUR0077";1,54
"21";"ANTTUR0079";3,08
"22";"ANTTUR0082";4,46307692307692
"23";"ANTTUR0094";1,305
"24";"ANTTUR0257";0,555833333333333
"25";"ANTTUR0270";2,14363636363636
"26";"ANTTUR0273";0,611818181818182
"27";"ANTTUR0277";1,64083333333333
"28";"ANTTUR0282";0,875
"29";"ANTTUR0287";8,5
"30";"ANTTUR0292";0,60625
"31";"ANTTUR0295";0,468181818181818
"32";"ANTTUR0296";0,913333333333333
"33";"ANTTUR0297";0,905
"34";"ANTTUR0299";3,9
"35";"ANTTUR0300";2,73666666666667
"36";"ANTTUR0301";1,7725
"37";"ANTTUR0302";1,06083333333333
"38";"ANTTUR0304";1,395
"39";"ANTTUR0305";0,571666666666667
"40";"ANTTUR0674";2,12083333333333
