,codeplas,NO2_N_gem,NO_2_max
1,ANTMRK0177,0.00304414,0.00304414
2,ANTMRK0204,0.00608828,0.02739726
3,ANTMRK0206,0.00304414,0.00304414
4,ANTRAV0014,0.00304414,0.00304414
5,ANTRAV0122,0.00304414,0.00304414
6,ANTRAV0175,0.00304414,0.00304414
7,ANTRAV0188,0.00304414,0.00304414
8,ANTRAV0208,0.00304414,0.00304414
9,ANTRAV0211,0.00304414,0.00304414
10,ANTRAV0230,0.006453577,0.0152207
11,ANTRAV0293,0.0069185,0.0152207
12,ANTTUR0018,0.00304414,0.00304414
13,ANTTUR0022,0.00304414,0.00304414
14,ANTTUR0046,0.00304414,0.00304414
15,ANTTUR0065,0.007209805,0.0152207
16,ANTTUR0077,0.003278305,0.00608828
17,ANTTUR0079,0.00359762,0.00608828
18,ANTTUR0082,0.010471842,0.02435312
19,ANTTUR0094,0.008401826,0.03652968
20,ANTTUR0270,0.00304414,0.00304414
21,ANTTUR0273,0.00304414,0.00304414
22,ANTTUR0277,0.00304414,0.00304414
23,ANTTUR0282,0.00304414,0.00304414
24,ANTTUR0287,0.028665652,0.112633181
25,ANTTUR0292,0.00304414,0.00304414
26,ANTTUR0295,0.00304414,0.00304414
27,ANTTUR0296,0.00913242,0.0152207
28,ANTTUR0297,0.00304414,0.00304414
29,ANTTUR0299,0.007800609,0.03652968
30,ANTTUR0300,0.00304414,0.00304414
31,ANTTUR0301,0.007102993,0.0152207
32,ANTTUR0302,0.00304414,0.00304414
33,ANTTUR0304,0.007102993,0.0152207
34,ANTTUR0305,0.019025875,0.060882801
