,codeplas,NO3_N_zhjgem
1,ANTARE0025,0.408496732
2,ANTARE0309,0.051203277
3,ANTBAA0036,0.035766995
4,ANTMRK0177,0.218743411
5,ANTMRK0204,0.040661426
6,ANTMRK0206,0.088099756
7,ANTOTH0015,0.059184964
8,ANTOTH0270,0.039757839
9,ANTOTH0271,0.064606488
10,ANTOTH0306,0.081938934
11,ANTOTH0324,0.07928978
12,ANTRAV0014,0.021460197
13,ANTRAV0052,0.061933376
14,ANTRAV0122,0.040661426
15,ANTRAV0175,0.034261016
16,ANTRAV0188,0.030496069
17,ANTRAV0208,0.092994187
18,ANTRAV0211,0.324000568
19,ANTRAV0230,0.098351996
20,ANTRAV0293,0.077708503
21,ANTRAV0296,0.074545947
22,ANTRAV0297,0.09562965
23,ANTRAV0369,0.640793952
24,ANTRAV0381,0.140809012
25,ANTTUR0018,0.116175502
26,ANTTUR0022,0.036519984
27,ANTTUR0046,0.069124424
28,ANTTUR0065,0.07516203
29,ANTTUR0077,0.044049878
30,ANTTUR0079,0.050149092
31,ANTTUR0082,0.08000512
32,ANTTUR0094,0.234556188
33,ANTTUR0257,0.024472154
34,ANTTUR0270,0.028011204
35,ANTTUR0273,0.030721966
36,ANTTUR0277,0.057603687
37,ANTTUR0282,0.033884522
38,ANTTUR0287,4.190385832
39,ANTTUR0292,0.09205295
40,ANTTUR0295,0.044426373
41,ANTTUR0296,0.049002231
42,ANTTUR0297,0.075957802
43,ANTTUR0299,0.057729185
44,ANTTUR0300,0.051956266
45,ANTTUR0301,0.071465536
46,ANTTUR0302,0.035014006
47,ANTTUR0304,0.105760779
48,ANTTUR0305,0.292912864
49,ANTTUR0674,0.060992139
