"","codeplas","Na_max"
"1","ANTMRK0177",12.11
"2","ANTMRK0204",3.3
"3","ANTMRK0206",37.16
"4","ANTRAV0014",3.52
"5","ANTRAV0122",2.91
"6","ANTRAV0175",5.54
"7","ANTRAV0188",13.75
"8","ANTRAV0208",12.56
"9","ANTRAV0211",14.73
"10","ANTRAV0230",7.88
"11","ANTRAV0293",9.19
"12","ANTTUR0018",19.48
"13","ANTTUR0022",6.73
"14","ANTTUR0046",6.61
"15","ANTTUR0065",24.58
"16","ANTTUR0077",22.22
"17","ANTTUR0079",9.49
"18","ANTTUR0082",65.92
"19","ANTTUR0094",18.29
"20","ANTTUR0270",3.97
"21","ANTTUR0273",3.43
"22","ANTTUR0277",25.95
"23","ANTTUR0282",3.68
"24","ANTTUR0287",58.44
"25","ANTTUR0292",14.49
"26","ANTTUR0295",5.35
"27","ANTTUR0296",14.64
"28","ANTTUR0297",4.96
"29","ANTTUR0299",31.49
"30","ANTTUR0300",16.63
"31","ANTTUR0301",10.35
"32","ANTTUR0302",9.41
"33","ANTTUR0304",12.38
"34","ANTTUR0305",19.06
