"";"codeplas";"Na_max_zomer"
"1";"ANTARE0025";9,93
"2";"ANTARE0309";28,85
"3";"ANTBAA0036";15,27
"4";"ANTMRK0177";12,11
"5";"ANTMRK0204";3,3
"6";"ANTMRK0206";37,16
"7";"ANTOTH0015";7,03
"8";"ANTOTH0270";11,15
"9";"ANTOTH0271";11,38
"10";"ANTOTH0306";9,18
"11";"ANTOTH0324";8,58
"12";"ANTRAV0014";3,52
"13";"ANTRAV0052";12,32
"14";"ANTRAV0122";2,91
"15";"ANTRAV0175";5,54
"16";"ANTRAV0188";13,75
"17";"ANTRAV0208";12,56
"18";"ANTRAV0211";14,73
"19";"ANTRAV0230";7,14
"20";"ANTRAV0293";9,19
"21";"ANTRAV0296";11,88
"22";"ANTRAV0297";18,2
"23";"ANTRAV0369";15,24
"24";"ANTRAV0381";12,05
"25";"ANTTUR0018";9,8
"26";"ANTTUR0022";6,73
"27";"ANTTUR0046";6,61
"28";"ANTTUR0065";24,58
"29";"ANTTUR0077";22,22
"30";"ANTTUR0079";9,49
"31";"ANTTUR0082";65,92
"32";"ANTTUR0094";15,61
"33";"ANTTUR0257";4,61
"34";"ANTTUR0270";3,97
"35";"ANTTUR0273";3,43
"36";"ANTTUR0277";25,95
"37";"ANTTUR0282";3,68
"38";"ANTTUR0287";58,44
"39";"ANTTUR0292";14,49
"40";"ANTTUR0295";5,35
"41";"ANTTUR0296";14,64
"42";"ANTTUR0297";4,96
"43";"ANTTUR0299";31,49
"44";"ANTTUR0300";16,63
"45";"ANTTUR0301";10,35
"46";"ANTTUR0302";9,41
"47";"ANTTUR0304";12,38
"48";"ANTTUR0305";19,06
"49";"ANTTUR0674";18,71
