"";"codeplas";"Na_maxzomer"
"1";"ANTMRK0177";12,11
"2";"ANTMRK0204";3,3
"3";"ANTMRK0206";37,16
"4";"ANTOTH0271";11,38
"5";"ANTOTH0306";5,86
"6";"ANTOTH0324";8,58
"7";"ANTRAV0014";3,52
"8";"ANTRAV0052";12,32
"9";"ANTRAV0122";2,91
"10";"ANTRAV0175";5,54
"11";"ANTRAV0188";13,75
"12";"ANTRAV0208";12,56
"13";"ANTRAV0211";14,73
"14";"ANTRAV0230";7,14
"15";"ANTRAV0293";6,78
"16";"ANTTUR0018";9,8
"17";"ANTTUR0022";6,73
"18";"ANTTUR0046";6,61
"19";"ANTTUR0065";24,58
"20";"ANTTUR0077";22,22
"21";"ANTTUR0079";9,49
"22";"ANTTUR0082";38,77
"23";"ANTTUR0094";15,61
"24";"ANTTUR0257";4,61
"25";"ANTTUR0270";3,97
"26";"ANTTUR0273";3,43
"27";"ANTTUR0277";25,95
"28";"ANTTUR0282";3,68
"29";"ANTTUR0287";58,44
"30";"ANTTUR0292";14,49
"31";"ANTTUR0295";5,35
"32";"ANTTUR0296";12,59
"33";"ANTTUR0297";4,96
"34";"ANTTUR0299";31,49
"35";"ANTTUR0300";16,63
"36";"ANTTUR0301";10,35
"37";"ANTTUR0302";9,41
"38";"ANTTUR0304";12,38
"39";"ANTTUR0305";19,06
"40";"ANTTUR0674";18,71
