"";"codeplas";"Na_gem"
"1";"ANTARE0025";9,535
"2";"ANTARE0309";21,3316666666667
"3";"ANTBAA0036";10,6925
"4";"ANTMRK0177";5,9825
"5";"ANTMRK0204";2,41583333333333
"6";"ANTMRK0206";30,3308333333333
"7";"ANTOTH0015";5,44
"8";"ANTOTH0270";7,159
"9";"ANTOTH0271";6,93470588235294
"10";"ANTOTH0306";3,69272727272727
"11";"ANTOTH0324";4,55238095238095
"12";"ANTRAV0014";2,60083333333333
"13";"ANTRAV0052";9,08958333333333
"14";"ANTRAV0122";2,62454545454545
"15";"ANTRAV0175";3,59333333333333
"16";"ANTRAV0188";9,35666666666667
"17";"ANTRAV0208";9,4
"18";"ANTRAV0211";10,6907692307692
"19";"ANTRAV0230";4,2256
"20";"ANTRAV0293";4,61545454545455
"21";"ANTRAV0296";11,01375
"22";"ANTRAV0297";14,1566666666667
"23";"ANTRAV0369";12,9091666666667
"24";"ANTRAV0381";11,065
"25";"ANTTUR0018";6,43153846153846
"26";"ANTTUR0022";4,11909090909091
"27";"ANTTUR0046";4,11454545454545
"28";"ANTTUR0065";16,4315
"29";"ANTTUR0077";13,4676923076923
"30";"ANTTUR0079";6,23727272727273
"31";"ANTTUR0082";25,9753846153846
"32";"ANTTUR0094";7,2872
"33";"ANTTUR0257";3,67166666666667
"34";"ANTTUR0270";1,90636363636364
"35";"ANTTUR0273";2,41818181818182
"36";"ANTTUR0277";9,20461538461539
"37";"ANTTUR0282";3,04214285714286
"38";"ANTTUR0287";23,6716666666667
"39";"ANTTUR0292";4,86714285714286
"40";"ANTTUR0295";3,09692307692308
"41";"ANTTUR0296";7,2236
"42";"ANTTUR0297";3,86857142857143
"43";"ANTTUR0299";14,233125
"44";"ANTTUR0300";12,8733333333333
"45";"ANTTUR0301";7,46
"46";"ANTTUR0302";5,32
"47";"ANTTUR0304";6,7965
"48";"ANTTUR0305";9,275
"49";"ANTTUR0674";7,79230769230769
