"";"codeplas";"O2_10p"
"1";"ANTARE0025";8,762
"2";"ANTARE0309";7,24
"3";"ANTBAA0036";6,678
"4";"ANTMRK0177";9,773
"5";"ANTMRK0204";6,23
"6";"ANTMRK0206";8,873
"7";"ANTOTH0015";1,205
"8";"ANTOTH0270";7,008
"9";"ANTOTH0271";6
"10";"ANTOTH0306";8,453
"11";"ANTOTH0324";9,5
"12";"ANTRAV0014";9,63
"13";"ANTRAV0052";4,03
"14";"ANTRAV0122";9,77
"15";"ANTRAV0175";9,095
"16";"ANTRAV0188";9,162
"17";"ANTRAV0208";4,002
"18";"ANTRAV0211";10,918
"19";"ANTRAV0230";8,896
"20";"ANTRAV0293";4,442
"21";"ANTRAV0296";4,732
"22";"ANTRAV0297";6,8
"23";"ANTRAV0369";5,098
"24";"ANTRAV0381";4,574
"25";"ANTTUR0018";9,056
"26";"ANTTUR0022";8,42
"27";"ANTTUR0046";8,86
"28";"ANTTUR0065";8,185
"29";"ANTTUR0077";8,244
"30";"ANTTUR0079";9,76
"31";"ANTTUR0082";6,13
"32";"ANTTUR0094";8,028
"33";"ANTTUR0257";8,68
"34";"ANTTUR0270";10,22
"35";"ANTTUR0273";7,47
"36";"ANTTUR0277";9,136
"37";"ANTTUR0282";8,018
"38";"ANTTUR0287";9,665
"39";"ANTTUR0292";8,768
"40";"ANTTUR0295";9,051
"41";"ANTTUR0296";8,898
"42";"ANTTUR0297";8,874
"43";"ANTTUR0299";5,48
"44";"ANTTUR0300";7,78
"45";"ANTTUR0301";8,364
"46";"ANTTUR0302";8,97
"47";"ANTTUR0304";7,773
"48";"ANTTUR0305";9,232
"49";"ANTTUR0674";8,058
