"","codeplas","O2_10p"
"1","ANTMRK0177",9.773
"2","ANTMRK0204",6.23
"3","ANTMRK0206",8.873
"4","ANTOTH0271",6
"5","ANTOTH0306",8.453
"6","ANTOTH0324",9.5
"7","ANTRAV0014",9.63
"8","ANTRAV0052",4.03
"9","ANTRAV0122",9.77
"10","ANTRAV0175",9.095
"11","ANTRAV0188",9.162
"12","ANTRAV0208",4.002
"13","ANTRAV0211",10.918
"14","ANTRAV0230",8.896
"15","ANTRAV0293",4.442
"16","ANTTUR0018",9.056
"17","ANTTUR0022",8.42
"18","ANTTUR0046",8.86
"19","ANTTUR0065",8.185
"20","ANTTUR0077",8.244
"21","ANTTUR0079",9.76
"22","ANTTUR0082",6.13
"23","ANTTUR0094",8.028
"24","ANTTUR0257",8.68
"25","ANTTUR0270",10.22
"26","ANTTUR0273",7.47
"27","ANTTUR0277",9.136
"28","ANTTUR0282",8.018
"29","ANTTUR0287",9.665
"30","ANTTUR0292",8.768
"31","ANTTUR0295",9.051
"32","ANTTUR0296",8.898
"33","ANTTUR0297",8.874
"34","ANTTUR0299",5.48
"35","ANTTUR0300",7.78
"36","ANTTUR0301",8.364
"37","ANTTUR0302",8.97
"38","ANTTUR0304",7.773
"39","ANTTUR0305",9.232
"40","ANTTUR0674",8.058
