"";"codeplas";"O2_verz_max"
"1";"ANTARE0025";154,4
"2";"ANTARE0309";141,9
"3";"ANTBAA0036";116,6
"4";"ANTMRK0177";150
"5";"ANTMRK0204";139,9
"6";"ANTMRK0206";121,8
"7";"ANTOTH0015";48,3
"8";"ANTOTH0270";109,8
"9";"ANTOTH0271";127,2
"10";"ANTOTH0306";118
"11";"ANTOTH0324";172
"12";"ANTRAV0014";135,4
"13";"ANTRAV0052";130,9
"14";"ANTRAV0122";152,8
"15";"ANTRAV0175";144,6
"16";"ANTRAV0188";132,7
"17";"ANTRAV0208";72,8
"18";"ANTRAV0211";150,1
"19";"ANTRAV0230";114
"20";"ANTRAV0293";139,4
"21";"ANTRAV0296";90,2
"22";"ANTRAV0297";110,5
"23";"ANTRAV0369";147,2
"24";"ANTRAV0381";128,3
"25";"ANTTUR0018";121,4
"26";"ANTTUR0022";128,3
"27";"ANTTUR0046";115,3
"28";"ANTTUR0065";114,5
"29";"ANTTUR0077";117,5
"30";"ANTTUR0079";153,4
"31";"ANTTUR0082";156,3
"32";"ANTTUR0094";111,1
"33";"ANTTUR0257";115,6
"34";"ANTTUR0270";134,6
"35";"ANTTUR0273";119,4
"36";"ANTTUR0277";123
"37";"ANTTUR0282";138
"38";"ANTTUR0287";165,7
"39";"ANTTUR0292";135,5
"40";"ANTTUR0295";122,3
"41";"ANTTUR0296";119,6
"42";"ANTTUR0297";129,1
"43";"ANTTUR0299";97,7
"44";"ANTTUR0300";145,3
"45";"ANTTUR0301";116,3
"46";"ANTTUR0302";143,4
"47";"ANTTUR0304";114,9
"48";"ANTTUR0305";150,3
"49";"ANTTUR0674";113,2
