"","codeplas","O2_verz_max"
"1","ANTMRK0177",150
"2","ANTMRK0204",139.9
"3","ANTMRK0206",121.8
"4","ANTOTH0271",127.2
"5","ANTOTH0306",118
"6","ANTOTH0324",172
"7","ANTRAV0014",135.4
"8","ANTRAV0052",130.9
"9","ANTRAV0122",152.8
"10","ANTRAV0175",144.6
"11","ANTRAV0188",132.7
"12","ANTRAV0208",72.8
"13","ANTRAV0211",150.1
"14","ANTRAV0230",114
"15","ANTRAV0293",139.4
"16","ANTTUR0018",121.4
"17","ANTTUR0022",128.3
"18","ANTTUR0046",115.3
"19","ANTTUR0065",114.5
"20","ANTTUR0077",117.5
"21","ANTTUR0079",153.4
"22","ANTTUR0082",156.3
"23","ANTTUR0094",111.1
"24","ANTTUR0257",115.6
"25","ANTTUR0270",134.6
"26","ANTTUR0273",119.4
"27","ANTTUR0277",123
"28","ANTTUR0282",138
"29","ANTTUR0287",165.7
"30","ANTTUR0292",135.5
"31","ANTTUR0295",122.3
"32","ANTTUR0296",119.6
"33","ANTTUR0297",129.1
"34","ANTTUR0299",97.7
"35","ANTTUR0300",145.3
"36","ANTTUR0301",116.3
"37","ANTTUR0302",143.4
"38","ANTTUR0304",114.9
"39","ANTTUR0305",150.3
"40","ANTTUR0674",113.2
