"","codeplas","SD_zhjgem"
"1","ANTMRK0177",0.416666666666667
"2","ANTMRK0204",0.388333333333333
"3","ANTMRK0206",1.14166666666667
"4","ANTRAV0014",0.6
"5","ANTRAV0122",0.362
"6","ANTRAV0175",0.425
"7","ANTRAV0188",0.493333333333333
"8","ANTRAV0208",0.586666666666667
"9","ANTRAV0211",1.01857142857143
"10","ANTRAV0230",0.824615384615385
"11","ANTRAV0293",0.253
"12","ANTTUR0018",0.371428571428571
"13","ANTTUR0022",0.408333333333333
"14","ANTTUR0046",0.278
"15","ANTTUR0065",0.693333333333333
"16","ANTTUR0077",0.648333333333333
"17","ANTTUR0079",0.666
"18","ANTTUR0082",0.458
"19","ANTTUR0094",0.341666666666667
"20","ANTTUR0270",0.498
"21","ANTTUR0273",0.764
"22","ANTTUR0277",0.531666666666667
"23","ANTTUR0282",0.365
"24","ANTTUR0287",0.46
"25","ANTTUR0292",0.47125
"26","ANTTUR0295",0.588333333333333
"27","ANTTUR0296",0.515
"28","ANTTUR0297",0.3025
"29","ANTTUR0299",0.687777777777778
"30","ANTTUR0300",0.301666666666667
"31","ANTTUR0301",0.606666666666667
"32","ANTTUR0302",0.406666666666667
"33","ANTTUR0304",0.488888888888889
"34","ANTTUR0305",0.101666666666667
