"";"codeplas";"SD_zhjgem"
"1";"ANTARE0025";0,473333333333333
"2";"ANTARE0309";0,513333333333333
"3";"ANTBAA0036";0,426666666666667
"4";"ANTMRK0177";0,416666666666667
"5";"ANTMRK0204";0,388333333333333
"6";"ANTMRK0206";1,14166666666667
"7";"ANTOTH0015";0,5
"8";"ANTOTH0270";0,533333333333333
"9";"ANTOTH0271";0,38
"10";"ANTOTH0306";0,488
"11";"ANTOTH0324";0,57
"12";"ANTRAV0014";0,6
"13";"ANTRAV0052";0,612222222222222
"14";"ANTRAV0122";0,362
"15";"ANTRAV0175";0,425
"16";"ANTRAV0188";0,493333333333333
"17";"ANTRAV0208";0,586666666666667
"18";"ANTRAV0211";1,01857142857143
"19";"ANTRAV0230";0,824615384615385
"20";"ANTRAV0293";0,253
"21";"ANTRAV0296";0,35
"22";"ANTRAV0297";0,398333333333333
"23";"ANTRAV0369";0,338333333333333
"24";"ANTRAV0381";0,558333333333333
"25";"ANTTUR0018";0,371428571428571
"26";"ANTTUR0022";0,408333333333333
"27";"ANTTUR0046";0,278
"28";"ANTTUR0065";0,693333333333333
"29";"ANTTUR0077";0,648333333333333
"30";"ANTTUR0079";0,666
"31";"ANTTUR0082";0,458
"32";"ANTTUR0094";0,341666666666667
"33";"ANTTUR0257";0,696666666666667
"34";"ANTTUR0270";0,498
"35";"ANTTUR0273";0,764
"36";"ANTTUR0277";0,531666666666667
"37";"ANTTUR0282";0,365
"38";"ANTTUR0287";0,46
"39";"ANTTUR0292";0,47125
"40";"ANTTUR0295";0,588333333333333
"41";"ANTTUR0296";0,515
"42";"ANTTUR0297";0,3025
"43";"ANTTUR0299";0,687777777777778
"44";"ANTTUR0300";0,301666666666667
"45";"ANTTUR0301";0,606666666666667
"46";"ANTTUR0302";0,406666666666667
"47";"ANTTUR0304";0,488888888888889
"48";"ANTTUR0305";0,101666666666667
"49";"ANTTUR0674";0,436666666666667
