"","codeplas","sal_max"
"1","ANTMRK0177",0
"2","ANTMRK0204",0
"3","ANTMRK0206",0.2
"4","ANTRAV0014",0
"5","ANTRAV0122",0
"6","ANTRAV0175",0
"7","ANTRAV0188",0
"8","ANTRAV0208",0
"9","ANTRAV0211",0
"10","ANTRAV0230",0
"11","ANTRAV0293",0.3
"12","ANTTUR0018",0
"13","ANTTUR0022",0.1
"14","ANTTUR0046",0
"15","ANTTUR0065",0
"16","ANTTUR0077",0
"17","ANTTUR0079",0
"18","ANTTUR0082",0.2
"19","ANTTUR0094",0
"20","ANTTUR0270",0
"21","ANTTUR0273",0
"22","ANTTUR0277",0
"23","ANTTUR0282",0
"24","ANTTUR0287",0.3
"25","ANTTUR0292",0
"26","ANTTUR0295",0
"27","ANTTUR0296",0
"28","ANTTUR0297",0
"29","ANTTUR0299",0.1
"30","ANTTUR0300",0
"31","ANTTUR0301",0.1
"32","ANTTUR0302",0
"33","ANTTUR0304",0
"34","ANTTUR0305",0.1
