"";"codeplas";"Si_mean"
"1";"ANTARE0025";0,5525
"2";"ANTARE0309";1,03583333333333
"3";"ANTBAA0036";1,33583333333333
"4";"ANTMRK0177";0,25
"5";"ANTMRK0204";0,405833333333333
"6";"ANTMRK0206";1,14833333333333
"7";"ANTOTH0015";2,03
"8";"ANTOTH0270";2,82
"9";"ANTOTH0271";1,19411764705882
"10";"ANTOTH0306";0,384545454545455
"11";"ANTOTH0324";0,32047619047619
"12";"ANTRAV0014";0,63
"13";"ANTRAV0052";1,01958333333333
"14";"ANTRAV0122";0,25
"15";"ANTRAV0175";0,326666666666667
"16";"ANTRAV0188";0,8575
"17";"ANTRAV0208";1,26416666666667
"18";"ANTRAV0211";0,25
"19";"ANTRAV0230";0,1844
"20";"ANTRAV0293";2,27818181818182
"21";"ANTRAV0296";3,6325
"22";"ANTRAV0297";2,4175
"23";"ANTRAV0369";1,735
"24";"ANTRAV0381";4,5975
"25";"ANTTUR0018";0,386153846153846
"26";"ANTTUR0022";0,273636363636364
"27";"ANTTUR0046";0,320909090909091
"28";"ANTTUR0065";0,224736842105263
"29";"ANTTUR0077";0,263076923076923
"30";"ANTTUR0079";0,567272727272727
"31";"ANTTUR0082";1,562
"32";"ANTTUR0094";0,6912
"33";"ANTTUR0257";0,291666666666667
"34";"ANTTUR0270";0,25
"35";"ANTTUR0273";0,377272727272727
"36";"ANTTUR0277";0,25
"37";"ANTTUR0282";0,217142857142857
"38";"ANTTUR0287";0,6225
"39";"ANTTUR0292";0,281428571428571
"40";"ANTTUR0295";0,379166666666667
"41";"ANTTUR0296";0,178333333333333
"42";"ANTTUR0297";0,377857142857143
"43";"ANTTUR0299";0,535
"44";"ANTTUR0300";0,985833333333333
"45";"ANTTUR0301";0,274444444444444
"46";"ANTTUR0302";0,25
"47";"ANTTUR0304";0,195263157894737
"48";"ANTTUR0305";1,5925
"49";"ANTTUR0674";0,405384615384615
