"";"codeplas";"AquaComponent";"zhjgem"
"1";"ANTMRK0177";"TN";4,28666666666667
"2";"ANTMRK0177";"TP";0,2707
"3";"ANTMRK0204";"TN";3,34
"4";"ANTMRK0204";"TP";0,627183333333333
"5";"ANTMRK0206";"TN";0,368333333333333
"6";"ANTMRK0206";"TP";0,0328166666666667
"7";"ANTOTH0271";"TN";1,614
"8";"ANTOTH0271";"TP";0,02
"9";"ANTOTH0306";"TN";1,46
"10";"ANTOTH0306";"TP";0,0655
"11";"ANTOTH0324";"TN";2,15333333333333
"12";"ANTOTH0324";"TP";0,0662333333333333
"13";"ANTRAV0014";"TN";1,57
"14";"ANTRAV0014";"TP";0,0344666666666667
"15";"ANTRAV0052";"TN";1,625
"16";"ANTRAV0052";"TP";0,108166666666667
"17";"ANTRAV0122";"TN";2,15
"18";"ANTRAV0122";"TP";0,20088
"19";"ANTRAV0175";"TN";1,61666666666667
"20";"ANTRAV0175";"TP";0,174533333333333
"21";"ANTRAV0188";"TN";0,71
"22";"ANTRAV0188";"TP";0,0381666666666667
"23";"ANTRAV0208";"TN";1,82333333333333
"24";"ANTRAV0208";"TP";0,248783333333333
"25";"ANTRAV0211";"TN";1,33142857142857
"26";"ANTRAV0211";"TP";0,186171428571429
"27";"ANTRAV0230";"TN";1,70142857142857
"28";"ANTRAV0230";"TP";0,1805
"29";"ANTRAV0293";"TN";2,325
"30";"ANTRAV0293";"TP";0,3433
"31";"ANTTUR0018";"TN";1,10428571428571
"32";"ANTTUR0018";"TP";0,029
"33";"ANTTUR0022";"TN";1,2
"34";"ANTTUR0022";"TP";0,0509833333333333
"35";"ANTTUR0046";"TN";1,874
"36";"ANTTUR0046";"TP";0,07912
"37";"ANTTUR0065";"TN";1,17
"38";"ANTTUR0065";"TP";0,03015
"39";"ANTTUR0077";"TN";1,4
"40";"ANTTUR0077";"TP";0,0175
"41";"ANTTUR0079";"TN";1,656
"42";"ANTTUR0079";"TP";0,0446
"43";"ANTTUR0082";"TN";1,77833333333333
"44";"ANTTUR0082";"TP";0,0550333333333333
"45";"ANTTUR0094";"TN";2,51666666666667
"46";"ANTTUR0094";"TP";0,148333333333333
"47";"ANTTUR0257";"TN";1,11
"48";"ANTTUR0257";"TP";0,03875
"49";"ANTTUR0270";"TN";2,408
"50";"ANTTUR0270";"TP";0,07894
"51";"ANTTUR0273";"TN";1,398
"52";"ANTTUR0273";"TP";0,07726
"53";"ANTTUR0277";"TN";2,01833333333333
"54";"ANTTUR0277";"TP";0,0266666666666667
"55";"ANTTUR0282";"TN";1,08125
"56";"ANTTUR0282";"TP";0,015
"57";"ANTTUR0287";"TN";7,686
"58";"ANTTUR0287";"TP";0,09852
"59";"ANTTUR0292";"TN";1,5025
"60";"ANTTUR0292";"TP";0,0235375
"61";"ANTTUR0295";"TN";0,981666666666667
"62";"ANTTUR0295";"TP";0,015
"63";"ANTTUR0296";"TN";1,06166666666667
"64";"ANTTUR0296";"TP";0,0241666666666667
"65";"ANTTUR0297";"TN";1,08625
"66";"ANTTUR0297";"TP";0,022625
"67";"ANTTUR0299";"TN";2,19
"68";"ANTTUR0299";"TP";0,0706444444444444
"69";"ANTTUR0300";"TN";2,22
"70";"ANTTUR0300";"TP";0,0528166666666667
"71";"ANTTUR0301";"TN";1,73
"72";"ANTTUR0301";"TP";0,0233333333333333
"73";"ANTTUR0302";"TN";1,73
"74";"ANTTUR0302";"TP";0,0404833333333333
"75";"ANTTUR0304";"TN";1,895
"76";"ANTTUR0304";"TP";0,0934
"77";"ANTTUR0305";"TN";19,885
"78";"ANTTUR0305";"TP";2,46968333333333
"79";"ANTTUR0674";"TN";2,87166666666667
"80";"ANTTUR0674";"TP";0,242433333333333
