"","codeplas","Temp_max"
"1","ANTMRK0177",26.1
"2","ANTMRK0204",24.8
"3","ANTMRK0206",25.6
"4","ANTRAV0014",28.8
"5","ANTRAV0122",27.6
"6","ANTRAV0175",29.3
"7","ANTRAV0188",28.9
"8","ANTRAV0208",28.7
"9","ANTRAV0211",27.6
"10","ANTRAV0230",28.2
"11","ANTRAV0293",32.5
"12","ANTTUR0018",29.5
"13","ANTTUR0022",26.8
"14","ANTTUR0046",27.2
"15","ANTTUR0065",24.9
"16","ANTTUR0077",29.1
"17","ANTTUR0079",27.4
"18","ANTTUR0082",25.2
"19","ANTTUR0094",26.3
"20","ANTTUR0270",30.3
"21","ANTTUR0273",29.9
"22","ANTTUR0277",27.8
"23","ANTTUR0282",28.9
"24","ANTTUR0287",27.4
"25","ANTTUR0292",31.7
"26","ANTTUR0295",27.2
"27","ANTTUR0296",25
"28","ANTTUR0297",30.5
"29","ANTTUR0299",26.9
"30","ANTTUR0300",24.4
"31","ANTTUR0301",26.7
"32","ANTTUR0302",30.7
"33","ANTTUR0304",25.6
"34","ANTTUR0305",29.1
