"","codeplas","meetreeks","Temp_max"
"1","ANTARE0025","<2020",21.6
"2","ANTARE0309","<2020",25.5
"3","ANTBAA0036","<2020",27.4
"4","ANTMRK0177","2022-2023",26.1
"5","ANTMRK0204","2022-2023",24.8
"6","ANTMRK0206","2022-2023",25.6
"7","ANTOTH0015","<2020",17.8
"8","ANTOTH0270","<2020",24.2
"9","ANTOTH0271","2022-2023",27.3
"10","ANTOTH0271","<2020",19.6
"11","ANTOTH0306","2022-2023",25.2
"12","ANTOTH0306","<2020",27.8
"13","ANTOTH0324","2022-2023",23.8
"14","ANTOTH0324","<2020",25.9
"15","ANTRAV0014","2022-2023",28.8
"16","ANTRAV0014","2024",18.2
"17","ANTRAV0052","2022-2023",22.5
"18","ANTRAV0052","<2020",23.2
"19","ANTRAV0122","2022-2023",27.6
"20","ANTRAV0175","2022-2023",29.3
"21","ANTRAV0188","2022-2023",28.9
"22","ANTRAV0208","2022-2023",28.7
"23","ANTRAV0211","2022-2023",27.6
"24","ANTRAV0211","2024",3.9
"25","ANTRAV0230","2022-2023",28.2
"26","ANTRAV0230","<2020",24.7
"27","ANTRAV0293","2022-2023",32.5
"28","ANTRAV0293","<2020",26.3
"29","ANTRAV0296","<2020",20.5
"30","ANTRAV0297","<2020",22
"31","ANTRAV0369","<2020",20.3
"32","ANTRAV0381","<2020",23.1
"33","ANTTUR0018","2022-2023",29.5
"34","ANTTUR0022","2022-2023",26.8
"35","ANTTUR0046","2022-2023",27.2
"36","ANTTUR0065","2022-2023",24.6
"37","ANTTUR0065","2024",10.7
"38","ANTTUR0065","<2020",24.9
"39","ANTTUR0077","2022-2023",29.1
"40","ANTTUR0077","2024",10.6
"41","ANTTUR0079","2022-2023",27.4
"42","ANTTUR0082","2022-2023",25.2
"43","ANTTUR0082","2024",10.5
"44","ANTTUR0082","<2020",20.8
"45","ANTTUR0094","2022-2023",26.3
"46","ANTTUR0094","<2020",23.6
"47","ANTTUR0257","2022-2023",25.4
"48","ANTTUR0270","2022-2023",30.3
"49","ANTTUR0273","2022-2023",29.9
"50","ANTTUR0277","2022-2023",27.8
"51","ANTTUR0282","2022-2023",28.9
"52","ANTTUR0282","2024",17.8
"53","ANTTUR0287","2022-2023",27.4
"54","ANTTUR0287","2024",14.9
"55","ANTTUR0292","2022-2023",31.7
"56","ANTTUR0292","2024",19.7
"57","ANTTUR0295","2022-2023",27.2
"58","ANTTUR0295","2024",0.7
"59","ANTTUR0296","2022-2023",25
"60","ANTTUR0296","<2020",21.3
"61","ANTTUR0297","2022-2023",30.5
"62","ANTTUR0297","2024",17.9
"63","ANTTUR0299","2022-2023",26.9
"64","ANTTUR0299","2024",18
"65","ANTTUR0300","2022-2023",24.4
"66","ANTTUR0301","2022-2023",26.7
"67","ANTTUR0301","<2020",21.3
"68","ANTTUR0302","2022-2023",30.7
"69","ANTTUR0304","2022-2023",25.6
"70","ANTTUR0304","2024",11.5
"71","ANTTUR0304","<2020",21.2
"72","ANTTUR0305","2022-2023",29.1
"73","ANTTUR0674","2022-2023",28.7
"74","ANTTUR0674","2024",10.6
