"";"codeplas";"WD_zhj"
"1";"ANTARE0025";0,771666666666667
"2";"ANTARE0309";0,513333333333333
"3";"ANTBAA0036";0,443333333333333
"4";"ANTMRK0177";0,701666666666667
"5";"ANTMRK0204";0,613333333333333
"6";"ANTMRK0206";1,14166666666667
"7";"ANTOTH0015";0,725
"8";"ANTOTH0270";0,56
"9";"ANTOTH0271";0,371111111111111
"10";"ANTOTH0306";0,488
"11";"ANTOTH0324";0,57
"12";"ANTRAV0014";0,793333333333333
"13";"ANTRAV0052";0,612222222222222
"14";"ANTRAV0122";0,826
"15";"ANTRAV0175";0,425
"16";"ANTRAV0188";0,493333333333333
"17";"ANTRAV0208";0,586666666666667
"18";"ANTRAV0211";1,10285714285714
"19";"ANTRAV0230";0,824615384615385
"20";"ANTRAV0293";0,318
"21";"ANTRAV0296";0,35
"22";"ANTRAV0297";0,538333333333333
"23";"ANTRAV0369";0,43
"24";"ANTRAV0381";0,558333333333333
"25";"ANTTUR0018";0,428571428571429
"26";"ANTTUR0022";0,408333333333333
"27";"ANTTUR0046";0,4
"28";"ANTTUR0065";0,693333333333333
"29";"ANTTUR0077";0,648333333333333
"30";"ANTTUR0079";0,666
"31";"ANTTUR0082";0,484545454545455
"32";"ANTTUR0094";0,348333333333333
"33";"ANTTUR0257";0,696666666666667
"34";"ANTTUR0270";0,498
"35";"ANTTUR0273";0,82
"36";"ANTTUR0277";0,531666666666667
"37";"ANTTUR0282";0,365
"38";"ANTTUR0287";0,46
"39";"ANTTUR0292";0,47125
"40";"ANTTUR0295";0,588333333333333
"41";"ANTTUR0296";0,515
"42";"ANTTUR0297";0,3025
"43";"ANTTUR0299";0,953333333333333
"44";"ANTTUR0300";0,728333333333333
"45";"ANTTUR0301";0,837777777777778
"46";"ANTTUR0302";0,48
"47";"ANTTUR0304";0,628888888888889
"48";"ANTTUR0305";0,393333333333333
"49";"ANTTUR0674";0,556666666666667
