"","codeplas","ZS105_gem"
"1","ANTMRK0177",0.0504166666666667
"2","ANTMRK0204",0.0157916666666667
"3","ANTMRK0206",0.0125
"4","ANTRAV0014",0.0125
"5","ANTRAV0122",0.0293636363636364
"6","ANTRAV0175",0.0139583333333333
"7","ANTRAV0188",0.013625
"8","ANTRAV0208",0.0125
"9","ANTRAV0211",0.0125
"10","ANTRAV0230",0.01324
"11","ANTRAV0293",0.0212045454545455
"12","ANTTUR0018",0.0125
"13","ANTTUR0022",0.0125
"14","ANTTUR0046",0.0125
"15","ANTTUR0065",0.0125
"16","ANTTUR0077",0.0125
"17","ANTTUR0079",0.0125
"18","ANTTUR0082",0.0181739130434783
"19","ANTTUR0094",0.05428
"20","ANTTUR0270",0.0125
"21","ANTTUR0273",0.0125
"22","ANTTUR0277",0.0125
"23","ANTTUR0282",0.0125
"24","ANTTUR0287",0.0154545454545455
"25","ANTTUR0292",0.0125
"26","ANTTUR0295",0.0125
"27","ANTTUR0296",0.0224166666666667
"28","ANTTUR0297",0.0125
"29","ANTTUR0299",0.0125
"30","ANTTUR0300",0.0189166666666667
"31","ANTTUR0301",0.0125
"32","ANTTUR0302",0.0125
"33","ANTTUR0304",0.0144444444444444
"34","ANTTUR0305",0.207791666666667
