"";"codeplas";"ZS550_zhjgem"
"1";"ANTMRK0177";0,0125
"2";"ANTMRK0204";0,0125
"3";"ANTMRK0206";0,0125
"4";"ANTOTH0271";0,0125
"5";"ANTOTH0306";0,0125
"6";"ANTOTH0324";0,0125
"7";"ANTRAV0014";0,0125
"8";"ANTRAV0052";0,0125
"9";"ANTRAV0122";0,0125
"10";"ANTRAV0175";0,0125
"11";"ANTRAV0188";0,0125
"12";"ANTRAV0208";0,0125
"13";"ANTRAV0211";0,0125
"14";"ANTRAV0230";0,0125
"15";"ANTRAV0293";0,0125
"16";"ANTTUR0018";0,0125
"17";"ANTTUR0022";0,0125
"18";"ANTTUR0046";0,0125
"19";"ANTTUR0065";0,0125
"20";"ANTTUR0077";0,0125
"21";"ANTTUR0079";0,0125
"22";"ANTTUR0082";0,0125
"23";"ANTTUR0094";0,0159166666666667
"24";"ANTTUR0257";0,0125
"25";"ANTTUR0270";0,0125
"26";"ANTTUR0273";0,0125
"27";"ANTTUR0277";0,0125
"28";"ANTTUR0282";0,0125
"29";"ANTTUR0287";0,0125
"30";"ANTTUR0292";0,0125
"31";"ANTTUR0295";0,0125
"32";"ANTTUR0296";0,0125
"33";"ANTTUR0297";0,0125
"34";"ANTTUR0299";0,0125
"35";"ANTTUR0300";0,0125
"36";"ANTTUR0301";0,0125
"37";"ANTTUR0302";0,0125
"38";"ANTTUR0304";0,0125
"39";"ANTTUR0305";0,0125
"40";"ANTTUR0674";0,0125
