"";"codeplas";"ZS550_zhjgem"
"1";"ANTARE0025";0,0125
"2";"ANTARE0309";0,0125
"3";"ANTBAA0036";0,0125
"4";"ANTMRK0177";0,0125
"5";"ANTMRK0204";0,0125
"6";"ANTMRK0206";0,0125
"7";"ANTOTH0015";0,0125
"8";"ANTOTH0270";0,0125
"9";"ANTOTH0271";0,0125
"10";"ANTOTH0306";0,0125
"11";"ANTOTH0324";0,0125
"12";"ANTRAV0014";0,0125
"13";"ANTRAV0052";0,0125
"14";"ANTRAV0122";0,0125
"15";"ANTRAV0175";0,0125
"16";"ANTRAV0188";0,0125
"17";"ANTRAV0208";0,0125
"18";"ANTRAV0211";0,0125
"19";"ANTRAV0230";0,0125
"20";"ANTRAV0293";0,0179
"21";"ANTRAV0296";0,0125
"22";"ANTRAV0297";0,0165833333333333
"23";"ANTRAV0369";0,0125
"24";"ANTRAV0381";0,0125
"25";"ANTTUR0018";0,0125
"26";"ANTTUR0022";0,0125
"27";"ANTTUR0046";0,0125
"28";"ANTTUR0065";0,0125
"29";"ANTTUR0077";0,0125
"30";"ANTTUR0079";0,0125
"31";"ANTTUR0082";0,0125
"32";"ANTTUR0094";0,0166666666666667
"33";"ANTTUR0257";0,0125
"34";"ANTTUR0270";0,0125
"35";"ANTTUR0273";0,0125
"36";"ANTTUR0277";0,0125
"37";"ANTTUR0282";0,0125
"38";"ANTTUR0287";0,0125
"39";"ANTTUR0292";0,0125
"40";"ANTTUR0295";0,0125
"41";"ANTTUR0296";0,0125
"42";"ANTTUR0297";0,0125
"43";"ANTTUR0299";0,0125
"44";"ANTTUR0300";0,0125
"45";"ANTTUR0301";0,0125
"46";"ANTTUR0302";0,0125
"47";"ANTTUR0304";0,0125
"48";"ANTTUR0305";0,0125
"49";"ANTTUR0674";0,0125
