"","codeplas","ABS440_zhjgem"
"1","ANTARE0025",0.03365
"2","ANTARE0309",0.0268333333333333
"3","ANTBAA0036",0.02455
"4","ANTMRK0177",0.049
"5","ANTMRK0204",0.144166666666667
"6","ANTMRK0206",0.00413333333333333
"7","ANTOTH0270",0.03154
"8","ANTOTH0271",0.03872
"9","ANTOTH0306",0.0600909090909091
"10","ANTOTH0324",0.03142
"11","ANTRAV0014",0.0648666666666667
"12","ANTRAV0052",0.0427916666666667
"13","ANTRAV0122",0.0333
"14","ANTRAV0175",0.07005
"15","ANTRAV0188",0.0103333333333333
"16","ANTRAV0208",0.05995
"17","ANTRAV0211",0.0110428571428571
"18","ANTRAV0230",0.0100846153846154
"19","ANTRAV0293",0.11044
"20","ANTRAV0296",0.076375
"21","ANTRAV0297",0.04125
"22","ANTRAV0369",0.0429833333333333
"23","ANTRAV0381",0.0187
"24","ANTTUR0018",0.0213857142857143
"25","ANTTUR0022",0.04575
"26","ANTTUR0046",0.0516
"27","ANTTUR0065",0.0262333333333333
"28","ANTTUR0077",0.0401
"29","ANTTUR0079",0.02224
"30","ANTTUR0082",0.0359416666666667
"31","ANTTUR0094",0.0100166666666667
"32","ANTTUR0257",0.0168166666666667
"33","ANTTUR0270",0.02606
"34","ANTTUR0273",0.03496
"35","ANTTUR0277",0.0327
"36","ANTTUR0282",0.02485
"37","ANTTUR0287",0.08628
"38","ANTTUR0292",0.02725
"39","ANTTUR0295",0.0194166666666667
"40","ANTTUR0296",0.0393692307692308
"41","ANTTUR0297",0.03625
"42","ANTTUR0299",0.0684777777777778
"43","ANTTUR0300",0.06905
"44","ANTTUR0301",0.0518833333333333
"45","ANTTUR0302",0.0347333333333333
"46","ANTTUR0304",0.0381333333333333
"47","ANTTUR0305",0.24135
"48","ANTTUR0674",0.1354
