"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTMRK0177";0,439;0,6;3,011;20,037;117,52;119,372;122,35;122,35;0,168;13,316;16,184;0,95;0,1175;0,19;0,147538437645597;0,01;0,0030441400304414;1,484;0,335230866540164;84,743;0,506002914630864;9,68;13,578;146,47;0,18;0,05;0,0163078930202218;2,459;0,698;5,169;1,72530040053405;0,25;6,095;0,576;1,27833;1,12028;24,59;1,056;0,1328;0,0125;0,05246;0,218223533267781;610,59;254,67;6,308;7,3764;0;3,525;7,703;0,158;7,06;NA
"ANTMRK0204";0,298;0,6;2,707;4,879;56,38;54,666;57,25;57,25;0,328;13,587;6,219;1,656;0,1385;1,984;1,54061189625718;0,029;0,00882800608828006;0,693;0,156546489563568;53,074;1,66428457843954;2,975;9,933;104,47;0,18;1,329;0,433463796477495;1,122;0,703;1,61;0,537383177570094;0,647;4,22;0,7929;0,64914;0,6118;24,37;0,887;0,0125;0,0125;0,16642;0,222664700098328;151,55;95,86;6,345;6,626;0;3,937;7,949;0,0485;3,84;NA
"ANTMRK0206";5,582;0,6;17,963;62,628;494,3;465,491;502,98;502,98;0,408;2,5;15,807;4,85;0,206;0,05;0,0388259046435782;0,01;0,0030441400304414;0,712;0,160838528959971;6,758;0,210092547117277;33,806;14,165;119,3;0,18;0,05;0,0163078930202218;36,678;1,288;104,483;34,8741655540721;1,764;0,669;0,0285;3,94815;3,73086;25,24;1,29;0,0125;0,0125;0,00687;0,0409701737135365;30,1;8,22;4,069;4,36;0,19;37,755;7,588;0,2191;3,1;NA
"ANTOTH0271";0,41;0,6;4,24;16,24;107,5;102,3;102;102;1,29;2,5;3,12;1,14;0,125;0,05;0,0388259046435782;0,01;0,0030441400304414;0,58;0,131020149995482;34,66;0,172890194669502;8,45;11,17;112,1;0,18;0,05;0,0163078930202218;5,55;0,52;14,2;4,73965287049399;2,22;1,78;0,015;0,7497;0,8275;25,2;0,52;0,0125;0,0125;0,0679;0,0409701737135365;13,8;9,8;4,73;4,436;0;5,45;6,02;0,079;6,9;NA
"ANTOTH0306";0,22;0,6;2,11;8,23;56,6;53,39;55,3;55,3;0,46;5,8;4,8;0,97;0,19;0,05;0,0388259046435782;0,01;0,0030441400304414;0,21;0,047438330170778;28,74;0,0893083748447976;5,56;12,31;115,5;0,18;0,05;0,0163078930202218;1,75;0,56;3,94;1,3150867823765;1,12;1,36;0,0697;0,4992;0,5243;22,4;0,56;0,0125;0,0125;0,0684;0,0950508030154048;40;16,8;5,84;5,873;0;5,45;8,67;0,039;5;NA
"ANTOTH0324";0,313;0,6;1,746;16,392;74,86;74,062;78,64;78,64;0,15;2,5;3,884;0,887;0,1385;0,05;0,0388259046435782;0,01;0,0030441400304414;0,438;0,0989428029276231;30,289;0,351122778025425;8,566;13,023;130,44;0,18;0,05;0,0163078930202218;1,112;0,887;2,443;0,815420560747664;0,663;1,921;0,13469;0,63834;0,66669;23,38;0,887;0,0125;0,0125;0,04961;0,0409701737135365;26;10,8;5,57;5,5236;0;6,567;10,524;0,0551;4,33;NA
"ANTRAV0014";0,437;0,6;3,698;2,944;43,9;44,053;43,13;43,13;0,209;15,008;0,906;2,027;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,455;0,102783048703352;38,866;0,145542542334116;2,759;11,39;113,1;0,18;0,05;0,0163078930202218;0,5;0,843;0,576;0,192256341789052;1,346;1,943;0,04082;0,53066;0,52226;23,1;1,064;0,0125;0,0125;0,10154;0,245952146837103;48,44;24,54;6,854;7,474;0;2,373;6,009;0,0809;10,67;NA
"ANTRAV0052";0,213;0,6;15,992;21,055;198,95;184,032;194,8;194,8;0,694;31,217;12,221;4,754;0,1225;0,232;0,180152197546203;0,074;0,0225266362252664;3,445;0,778214511611096;25,958;0,825259594336866;11,037;12,184;106,18;0,18;0,05;0,0163078930202218;18,168;0,966;48,807;16,2907209612817;2,308;1,985;0,17223;1,6998;1,73395;21,06;0,966;0,0125;0,0125;0,0564;0,511586365126188;13,14;14,72;6,803;6,6617;0;12,87;6,528;0,0548;1,75;NA
"ANTRAV0122";0,05;0,6;1,15;5,05;36,2;33,93;35,4;35,4;0,05;5,93;3,24;0,63;0,05;0,48;0,372728684578351;0,01;0,0030441400304414;0,43;0,0971356284449264;39,74;0,411492867376436;2,87;14,19;143,4;0,18;0,05;0,0163078930202218;0,5;0,76;0,13;0,0433911882510013;0,25;2,28;0,2839;0,4282;0,3365;25,5;1,1;0,035;0,0125;0,0394;0,0971812520485087;162,4;97;6,59;7,17;0;3,74;11;0,138;19,2;NA
"ANTRAV0175";0,418;0,6;1,473;6,23;56,69;50,147;55,14;55,14;0,539;2,5;1,935;0,694;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,245;0,0553447185325743;37,145;0,175600956393546;4,183;12,54;129,69;0,18;0,05;0,0163078930202218;2,013;0,706;4,267;1,42423230974633;0,527;1,751;0,015;0,35559;0,40644;28,81;0,706;0,0125;0,0125;0,07703;0,0409701737135365;48,12;17,42;4,719;4,531;0;5,57;10,393;0,0765;10,39;NA
