"";"codeplas";"EGV_90p"
"1";"ANTMRK0177";117,52
"2";"ANTMRK0204";56,38
"3";"ANTMRK0206";494,3
"4";"ANTOTH0271";107,5
"5";"ANTOTH0306";56,6
"6";"ANTOTH0324";74,86
"7";"ANTRAV0014";43,9
"8";"ANTRAV0052";198,95
"9";"ANTRAV0122";36,2
"10";"ANTRAV0175";56,69
"11";"ANTRAV0188";201,28
"12";"ANTRAV0208";136,92
"13";"ANTRAV0211";204,62
"14";"ANTRAV0230";79,58
"15";"ANTRAV0293";405,8
"16";"ANTTUR0018";122,84
"17";"ANTTUR0022";50,6
"18";"ANTTUR0046";64,4
"19";"ANTTUR0065";189,72
"20";"ANTTUR0077";136,68
"21";"ANTTUR0079";159,7
"22";"ANTTUR0082";351,1
"23";"ANTTUR0094";172,05
"24";"ANTTUR0257";43,25
"25";"ANTTUR0270";93,4
"26";"ANTTUR0273";41,5
"27";"ANTTUR0277";189,01
"28";"ANTTUR0282";44,56
"29";"ANTTUR0287";472,1
"30";"ANTTUR0292";88,78
"31";"ANTTUR0295";40,01
"32";"ANTTUR0296";90,71
"33";"ANTTUR0297";55,26
"34";"ANTTUR0299";279,2
"35";"ANTTUR0300";159,91
"36";"ANTTUR0301";99,54
"37";"ANTTUR0302";68,02
"38";"ANTTUR0304";140,54
"39";"ANTTUR0305";221,3
"40";"ANTTUR0674";116,1
