"";"codeplas";"K_gem"
"1";"ANTMRK0177";9,47666666666667
"2";"ANTMRK0204";4,53333333333333
"3";"ANTMRK0206";14,8891666666667
"4";"ANTOTH0271";2,55727272727273
"5";"ANTOTH0306";3,83909090909091
"6";"ANTOTH0324";2,795
"7";"ANTRAV0014";0,6125
"8";"ANTRAV0052";9,18583333333333
"9";"ANTRAV0122";2,91090909090909
"10";"ANTRAV0175";1,45166666666667
"11";"ANTRAV0188";3,3875
"12";"ANTRAV0208";6,01333333333333
"13";"ANTRAV0211";3,58846153846154
"14";"ANTRAV0230";1,62692307692308
"15";"ANTRAV0293";4,72
"16";"ANTTUR0018";1,70153846153846
"17";"ANTTUR0022";2,72545454545455
"18";"ANTTUR0046";1,04909090909091
"19";"ANTTUR0065";2,62785714285714
"20";"ANTTUR0077";2,07
"21";"ANTTUR0079";4,75818181818182
"22";"ANTTUR0082";2,98
"23";"ANTTUR0094";7,85083333333333
"24";"ANTTUR0257";1,9525
"25";"ANTTUR0270";2,81272727272727
"26";"ANTTUR0273";2,56090909090909
"27";"ANTTUR0277";5,27538461538462
"28";"ANTTUR0282";1,24714285714286
"29";"ANTTUR0287";30,87
"30";"ANTTUR0292";1,26714285714286
"31";"ANTTUR0295";1,35
"32";"ANTTUR0296";2,34307692307692
"33";"ANTTUR0297";0,972857142857143
"34";"ANTTUR0299";3,184375
"35";"ANTTUR0300";4,0425
"36";"ANTTUR0301";3,79833333333333
"37";"ANTTUR0302";3,935
"38";"ANTTUR0304";4,965
"39";"ANTTUR0305";8,975
"40";"ANTTUR0674";3,55692307692308
