"";"codeplas";"O2_10p"
"1";"ANTMRK0177";9,773
"2";"ANTMRK0204";6,23
"3";"ANTMRK0206";8,873
"4";"ANTOTH0271";7,29
"5";"ANTOTH0306";8,45
"6";"ANTOTH0324";9,682
"7";"ANTRAV0014";9,63
"8";"ANTRAV0052";3,99
"9";"ANTRAV0122";9,77
"10";"ANTRAV0175";9,095
"11";"ANTRAV0188";9,162
"12";"ANTRAV0208";4,002
"13";"ANTRAV0211";10,918
"14";"ANTRAV0230";8,892
"15";"ANTRAV0293";7,979
"16";"ANTTUR0018";9,056
"17";"ANTTUR0022";8,42
"18";"ANTTUR0046";8,86
"19";"ANTTUR0065";8,726
"20";"ANTTUR0077";8,244
"21";"ANTTUR0079";9,76
"22";"ANTTUR0082";5,898
"23";"ANTTUR0094";8,013
"24";"ANTTUR0257";8,68
"25";"ANTTUR0270";10,22
"26";"ANTTUR0273";7,47
"27";"ANTTUR0277";9,136
"28";"ANTTUR0282";8,018
"29";"ANTTUR0287";9,665
"30";"ANTTUR0292";8,768
"31";"ANTTUR0295";9,051
"32";"ANTTUR0296";8,866
"33";"ANTTUR0297";8,874
"34";"ANTTUR0299";5,48
"35";"ANTTUR0300";7,78
"36";"ANTTUR0301";9,118
"37";"ANTTUR0302";8,97
"38";"ANTTUR0304";8,33
"39";"ANTTUR0305";9,232
"40";"ANTTUR0674";8,058
