"";"codeplas";"Si_gem"
"1";"ANTMRK0177";0,25
"2";"ANTMRK0204";0,405833333333333
"3";"ANTMRK0206";1,14833333333333
"4";"ANTOTH0271";1,30363636363636
"5";"ANTOTH0306";0,57
"6";"ANTOTH0324";0,396666666666667
"7";"ANTRAV0014";0,63
"8";"ANTRAV0052";0,968333333333333
"9";"ANTRAV0122";0,25
"10";"ANTRAV0175";0,326666666666667
"11";"ANTRAV0188";0,8575
"12";"ANTRAV0208";1,26416666666667
"13";"ANTRAV0211";0,25
"14";"ANTRAV0230";0,25
"15";"ANTRAV0293";1,826
"16";"ANTTUR0018";0,386153846153846
"17";"ANTTUR0022";0,273636363636364
"18";"ANTTUR0046";0,320909090909091
"19";"ANTTUR0065";0,273846153846154
"20";"ANTTUR0077";0,263076923076923
"21";"ANTTUR0079";0,567272727272727
"22";"ANTTUR0082";1,80428571428571
"23";"ANTTUR0094";0,8025
"24";"ANTTUR0257";0,291666666666667
"25";"ANTTUR0270";0,25
"26";"ANTTUR0273";0,377272727272727
"27";"ANTTUR0277";0,25
"28";"ANTTUR0282";0,217142857142857
"29";"ANTTUR0287";0,6225
"30";"ANTTUR0292";0,281428571428571
"31";"ANTTUR0295";0,379166666666667
"32";"ANTTUR0296";0,25
"33";"ANTTUR0297";0,377857142857143
"34";"ANTTUR0299";0,535
"35";"ANTTUR0300";0,985833333333333
"36";"ANTTUR0301";0,335
"37";"ANTTUR0302";0,25
"38";"ANTTUR0304";0,238461538461538
"39";"ANTTUR0305";1,5925
"40";"ANTTUR0674";0,405384615384615
