"";"codeplas";"SD_zhjgem"
"1";"ANTMRK0177";0,701666666666667
"2";"ANTMRK0204";0,613333333333333
"3";"ANTMRK0206";1,14166666666667
"4";"ANTOTH0271";0,378
"5";"ANTOTH0306";0,504
"6";"ANTOTH0324";0,566666666666667
"7";"ANTRAV0014";0,793333333333333
"8";"ANTRAV0052";0,676666666666667
"9";"ANTRAV0122";0,826
"10";"ANTRAV0175";0,425
"11";"ANTRAV0188";0,493333333333333
"12";"ANTRAV0208";0,586666666666667
"13";"ANTRAV0211";1,10285714285714
"14";"ANTRAV0230";0,867142857142857
"15";"ANTRAV0293";0,395
"16";"ANTTUR0018";0,428571428571429
"17";"ANTTUR0022";0,408333333333333
"18";"ANTTUR0046";0,4
"19";"ANTTUR0065";0,69
"20";"ANTTUR0077";0,648333333333333
"21";"ANTTUR0079";0,666
"22";"ANTTUR0082";0,521666666666667
"23";"ANTTUR0094";0,333333333333333
"24";"ANTTUR0257";0,696666666666667
"25";"ANTTUR0270";0,498
"26";"ANTTUR0273";0,82
"27";"ANTTUR0277";0,531666666666667
"28";"ANTTUR0282";0,365
"29";"ANTTUR0287";0,46
"30";"ANTTUR0292";0,47125
"31";"ANTTUR0295";0,588333333333333
"32";"ANTTUR0296";0,536666666666667
"33";"ANTTUR0297";0,3025
"34";"ANTTUR0299";0,953333333333333
"35";"ANTTUR0300";0,728333333333333
"36";"ANTTUR0301";0,931666666666667
"37";"ANTTUR0302";0,48
"38";"ANTTUR0304";0,576666666666667
"39";"ANTTUR0305";0,393333333333333
"40";"ANTTUR0674";0,556666666666667
