"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTMRK0177";0,44;0,6;3,61;25,99;147,7;140,79;150,1;150,1;0,31;14,33;19,38;1,08;0,14;0,22;0,170833980431744;0,01;0,0030441400304414;1,75;0,395319418089817;120,34;0,545901995765855;12,11;13,99;150;0,18;0,05;0,0163078930202218;2,65;0,99;5,61;1,87249666221629;0,25;9,33;0,69;1,5941;1,3156;26,1;1,19;0,25;0,0125;0,0751;0,234841035725991;1372,1;522,7;6,38;7,48;0;9,31;8,11;0,278;9,6;NA
"ANTMRK0204";0,41;0,6;2,81;6,06;57,3;62,04;58,4;58,4;0,35;15,42;7,11;1,77;0,15;2,25;1,74716570896102;0,09;0,0273972602739726;0,83;0,187494352579742;61,03;1,78183540243865;3,3;12,18;139,9;0,18;1,77;0,577299412915851;1,15;0,89;2,11;0,704272363150868;0,69;4,8;0,9619;0,679;0,7234;24,8;1,04;0,052;0,0125;0,1885;0,252704031465093;609,7;333,4;6,42;NA;0;8,48;16,21;0,079;8;NA
"ANTMRK0206";5,8;0,6;18,85;68,38;540;498,63;538,1;538,1;0,46;2,5;17,31;5,12;0,22;0,18;0,139773256716881;0,01;0,0030441400304414;0,81;0,182976416373001;22,45;0,224846461047021;37,16;14,73;121,8;0,18;0,05;0,0163078930202218;37,45;1,35;110,62;36,9225634178905;1,92;0,94;0,1219;4,2381;3,9813;25,6;1,35;0,0125;0,0125;0,0146;0,0409701737135365;31,2;13,3;4,12;4,67;0,2;39,47;8,23;0,257;3,4;NA
"ANTOTH0271";0,47;0,6;4,83;21,51;116;111,09;118,2;118,2;1,74;2,5;3,43;1,2;0,13;0,05;0,0388259046435782;0,01;0,0030441400304414;1;0,225896810337038;39,42;0,267766855011058;11,38;11,87;127,2;0,18;0,05;0,0163078930202218;5,78;0,57;14,66;4,8931909212283;2,47;2,03;0,04;0,8346;0,9114;27,3;0,57;0,031;0,0125;0,073;0,0409701737135365;68,9;46,4;4,99;4,53;0;7,11;7,67;0,088;8;NA
"ANTOTH0306";0,27;0,6;2,79;9,55;84,2;78,85;84,3;84,3;0,65;7,22;6,87;1,3;0,19;0,05;0,0388259046435782;0,01;0,0030441400304414;1,96;0,442757748260595;30,88;0,484627792934615;5,86;12,99;118;0,18;0,05;0,0163078930202218;4,15;0,9;10,66;3,55807743658211;2,61;2,23;0,1693;0,6494;0,7143;25,2;0,9;0,028;0,0125;0,0774;0,118321861684694;50,2;33;6,21;6,2;0;6,36;12,11;0,065;6,3;NA
"ANTOTH0324";0,4;0,6;3,53;19,88;96,7;96,2;98,6;98,6;0,44;5,17;4,81;1,12;0,3;0,8;0,621214474297251;0,01;0,0030441400304414;1,47;0,332068311195446;30,87;0,635553454844544;10,34;14,97;172;0,18;0,05;0,0163078930202218;1,86;0,91;3,85;1,28504672897196;1,32;5,77;0,148;0,8124;0,8752;23,8;0,91;0,0125;0,0125;0,0626;0,0847263192395936;79,1;24,8;5,93;5,816;0;6,98;15,47;0,063;7,7;NA
"ANTRAV0014";0,45;0,6;3,77;4,08;45,4;44,81;45,9;45,9;0,21;15,16;1,01;2,33;0,05;0,14;0,108712533002019;0,01;0,0030441400304414;1,73;0,390801481883076;40,03;0,432671526557096;3,52;11,79;135,4;0,18;0,05;0,0163078930202218;0,5;1,01;0,63;0,210280373831776;1,6;3,41;0,0548;0,5626;0,5595;28,8;1,07;0,0125;0,0125;0,1019;0,248443133398886;51,7;26,7;6,86;7,708;0;3,33;9,12;0,086;11,3;NA
"ANTRAV0052";0,31;0,6;19,68;25,75;229;207,57;219,9;219,9;0,83;33,5;14,02;5,41;0,2;0,5;0,388259046435782;0,09;0,0273972602739726;6,34;1,43218577753682;30,12;1,5807817926398;12,32;12,61;116,4;0,18;0,05;0,0163078930202218;23,82;1,1;63,38;21,154873164219;2,38;3,16;0,2192;1,9187;1,9412;22,5;1,1;0,0125;0,0125;0,0674;0,54900032776139;29,1;31,3;7,15;7,331;0;13,42;7,61;0,07;2,1;NA
"ANTRAV0122";0,125;0,6;1,17;5,06;37,9;35,41;35,7;35,7;0,125;6,26;3,28;0,66;0,125;0,57;0,442615312936791;0,01;0,0030441400304414;0,58;0,131020149995482;40,05;0,576679602962714;2,91;15,24;152,8;0,18;0,05;0,0163078930202218;0,5;0,79;0,22;0,0734312416555407;0,25;2,55;0,3262;0,4345;0,3429;27,6;1,15;0,104;0,025;0,0697;0,102589314978696;185,7;140;6,74;8,545;0;4,29;12,12;0,15;20,9;NA
"ANTRAV0175";0,42;0,6;1,56;8,07;59;54,51;59,1;59,1;0,71;2,5;1,95;0,74;0,125;0,26;0,201894704146607;0,01;0,0030441400304414;0,63;0,142314990512334;39,14;0,2162336846939;5,54;12,77;144,6;0,18;0,05;0,0163078930202218;2,32;0,75;5,02;1,67556742323097;0,64;1,77;0,9722;0,393;0,4761;29,3;0,75;0,03;0,0125;0,0867;0,0409701737135365;70,4;71,7;5,01;4,59;0;10,88;24,12;0,083;11,6;NA
"ANTRAV0188";0,76;0,6;9,53;24,67;208;193,58;204,5;204,5;0,17;2,5;9,9;2,51;0,15;0,53;0,411554589221929;0,01;0,0030441400304414;2,06;0,465347429294298;14,25;0,879946158546668;13,75;13,72;132,7;0,18;0,05;0,0163078930202218;15,71;0,81;43,57;14,5427236315087;1,85;2,59;0,17;1,5361;1,5582;28,9;0,81;0,026;0,0125;0,0264;0,0409701737135365;122,8;34,3;5,63;NA;0;12,52;7,13;0,022;1;NA
"ANTRAV0208";0,83;0,6;6,57;23,81;143,4;133,36;137,8;137,8;4,51;8,17;8,72;2,99;0,22;0,83;0,644510017083398;0,01;0,0030441400304414;1,53;0,345622119815668;36,65;0,760502562282358;12,56;7,95;72,8;0,18;0,05;0,0163078930202218;11,06;0,92;29,41;9,81642189586115;4,19;2,3;1,1369;1,1436;1,1846;28,7;0,92;0,0125;0,0125;0,1185;0,133890527695837;27,1;15,7;6,12;5,986;0;5,7;5,83;0,195;9,7;NA
"ANTRAV0211";0,125;0,6;17,98;22,97;229;215,86;227,8;227,8;0,14;42,27;5,87;3,94;0,125;0,4;0,310607237148626;0,01;0,0030441400304414;9,29;2,09858136803108;24,14;2,41223274521015;14,73;13,19;150,1;0,18;0,05;0,0163078930202218;18,3;1,26;49,39;16,4853137516689;0,25;3,77;1,0801;2,0942;2,0422;27,6;1,26;0,0125;0,0125;0,0201;0,692723697148476;29,2;24,1;8,94;9,729;0;11,94;6,25;0,052;1,6;NA
"ANTRAV0230";0,29;0,6;3,64;12,6;90,3;86,07;87;87;0,125;13,7;5,77;1,36;0,13;0,24;0,186364342289175;0,01;0,0030441400304414;0,67;0,151350862925815;16,84;0,306874823694876;7,88;12,95;114;0,18;0,05;0,0163078930202218;4,4;1,12;11,37;3,79506008010681;0,25;5,83;1,1735;0,7686;0,8098;28,2;1,12;0,0125;0,0125;0,0277;0,22451655195018;35,6;16,4;6,71;NA;0;3,17;5,63;0,041;5,3;NA
"ANTRAV0293";3,9;0,6;40,35;13,13;503;452,3;487;487;12,57;18,25;7,94;7,96;0,51;1,53;1,18807268209349;0,01;0,0030441400304414;0,39;0,0880997560314448;74,09;1,21596547126101;7,89;14,09;139,4;0,18;0,05;0,0163078930202218;65,07;0,67;179,5;59,913217623498;4,96;4,48;1,2083;3,9052;3,6996;32,5;0,77;0,0125;0,0125;0,3469;0,299082268108817;53,5;32,6;6,45;6,53;0,2;45,86;12,04;0,432;16,5;NA
"ANTTUR0018";0,54;0,6;6,61;32,32;171;161,28;168,75;168,3;0,61;7,61;3,7;2,1;0,125;0,26;0,201894704146607;0,01;0,0030441400304414;2,73;0,616698292220114;20,53;0,658568336894134;19,48;13,12;121,4;0,18;0,05;0,0163078930202218;7,63;0,68;18,76;6,26168224299065;2,02;1,39;0,098;1,391;1,4406;29,5;0,68;0,0125;0,0125;0,0419;0,124713208784005;11,3;15,6;6,64;6,966;0;8,62;8,52;0,095;15,3;NA
"ANTTUR0022";0,37;0,6;1,14;10,77;60,2;57,08;60,8;60,8;0,26;2,5;4,22;0,64;0,05;0,12;0,0931821711445877;0,01;0,0030441400304414;0,41;0,0926176922381856;36,5;0,134487736912205;6,73;12,14;128,3;0,18;0,05;0,0163078930202218;1,83;0,67;4,2;1,4018691588785;0,51;2,03;0,1459;0,4984;0,5301;26,8;0,67;0,0125;0,0125;0,0659;0,0409701737135365;93,1;76,2;5,18;5,215;0,1;4,01;9,64;0,059;8,6;NA
"ANTTUR0046";0,31;0,6;9;13,09;123;114,56;119,3;119,3;0,2;11,45;4,43;3,11;0,125;0,15;0,116477713930735;0,01;0,0030441400304414;0,56;0,126502213788741;39,39;0,168372258462761;6,61;12,84;115,3;0,18;0,05;0,0163078930202218;10,26;0,83;26,83;8,95527369826435;1,03;2,64;0,1231;1,0405;1,0787;27,2;0,83;0,0125;0,0125;0,0713;0,187643395607997;103,3;40,4;6,17;6,4;0;4,74;3,97;0,04;7,8;NA
