"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTMRK0177";0,42;0,6;3,61;25,99;147,7;140,79;150,1;150,1;0,31;14,33;19,38;1,08;0,14;0,22;0,170833980431744;0,01;0,0030441400304414;1,75;0,395319418089817;120,34;0,545901995765855;12,11;13,11;150;0,18;0,05;0,0163078930202218;2,37;0,99;3,61;1,20493991989319;0,25;9,33;0,69;1,5941;1,3156;26,1;1,06;0,25;0,0125;0,0751;0,234841035725991;1372,1;522,7;6,26;7,48;0;9,31;8,11;0,278;9,6;NA
"ANTMRK0204";0,41;0,6;2,71;6,06;57,3;62,04;58,4;58,4;0,35;13,38;7,11;1,77;0,15;2,25;1,74716570896102;0,03;0,0091324200913242;0,56;0,126502213788741;61,03;1,78183540243865;3,3;12,18;139,9;0,18;1,77;0,577299412915851;1,15;0,64;0,73;0,243658210947931;0,54;4,8;0,9619;0,679;0,7234;24,8;0,86;0,052;0,0125;0,1885;0,219272369714848;609,7;333,4;6,35;NA;0;8,48;16,21;0,079;8;NA
"ANTMRK0206";5,51;0,6;18,85;68,38;540;498,63;538,1;538,1;0,41;2,5;17,31;5,12;0,22;0,18;0,139773256716881;0,01;0,0030441400304414;0,81;0,182976416373001;6,38;0,224846461047021;37,16;10,69;121,8;0,18;0,05;0,0163078930202218;36,78;1,35;110,62;36,9225634178905;1,36;0,66;0,1219;4,2381;3,9813;25,6;1,35;0,0125;0,0125;0,0146;0,0409701737135365;23,8;8,5;4,03;4,67;0,2;39,47;7,59;0,257;3,4;NA
"ANTOTH0271";0,4;0,6;3,58;21,51;116;111,09;118,2;118,2;1,74;2,5;2,88;0,89;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;1;0,225896810337038;39,42;0,267766855011058;11,38;11,87;127,2;0,18;0,05;0,0163078930202218;3,05;0,57;7,88;2,630173564753;2,47;2,03;0,04;0,8346;0,9114;27,3;0,57;0,031;0,0125;0,0581;0,0409701737135365;68,9;46,4;4,73;4,53;0;7,11;6,02;0,077;4,4;NA
"ANTOTH0306";0,22;0,6;1,86;7,95;56,6;53,39;55,3;55,3;0,65;7,22;4,8;0,97;0,12;0,05;0,0388259046435782;0,01;0,0030441400304414;1,96;0,442757748260595;30,88;0,484627792934615;5,86;11,07;118;0,18;0,05;0,0163078930202218;1,24;0,9;2,6;0,867823765020027;0,54;2,23;0,1693;0,4992;0,5243;25,2;0,9;0,028;0,0125;0,0774;0,118321861684694;50,2;16,8;6,21;6,2;0;6,36;12,11;0,039;6,3;NA
"ANTOTH0324";0,32;0,6;1,75;16,47;75;74,3;78,9;78,9;0,15;2,5;4,81;0,89;0,11;0,8;0,621214474297251;0,01;0,0030441400304414;1,47;0,332068311195446;30,87;0,635553454844544;8,58;14,97;172;0,18;0,05;0,0163078930202218;0,5;0,91;1,39;0,463951935914553;0,25;5,77;0,148;0,6404;0,6667;23,8;0,91;0,0125;0,0125;0,0498;0,0409701737135365;79,1;24,8;5,48;5,54;0;6,98;10,71;0,047;3,6;NA
"ANTRAV0014";0,45;0,6;3,77;4,08;45,4;44,81;45,9;45,9;0,21;15,16;0,91;2,33;0,05;0,14;0,108712533002019;0,01;0,0030441400304414;0,32;0,0722869793078522;40,03;0,123051513549312;3,52;10,65;135,4;0,18;0,05;0,0163078930202218;0,5;0,78;0,45;0,150200267022697;1,09;1,95;0,0548;0,5626;0,5595;28,8;1,07;0,0125;0,0125;0,1019;0,248443133398886;51,7;26,7;6,86;7,474;0;2,42;6,02;0,086;11,3;NA
"ANTRAV0052";0,11;0,6;12,63;25,75;193,1;182,07;195;195;0,83;31,35;14,02;4,59;0,1;0,5;0,388259046435782;0,01;0,0030441400304414;0,31;0,0700280112044818;30,12;0,416151835603298;12,32;12,61;116,4;0,18;0,05;0,0163078930202218;11,33;0,97;34,34;11,4619492656876;0,25;1,94;0,2192;1,6926;1,7358;22,5;0,97;0,0125;0,0125;0,0674;0,513765978367748;29,1;31,3;7,15;7,331;0;12,93;6,63;0,044;1,3;NA
"ANTRAV0122";0,05;0,6;1,17;5,06;35;33,93;35,4;35,4;0,05;5,93;3,24;0,66;0,05;0,48;0,372728684578351;0,01;0,0030441400304414;0,43;0,0971356284449264;39,74;0,387067665125644;2,91;15,24;152,8;0,18;0,05;0,0163078930202218;0,5;0,43;0,05;0,0166889185580774;0,25;2,55;0,3262;0,4282;0,3429;27,6;1,04;0,104;0,0125;0,0394;0,0971812520485087;185,7;140;6,74;8,545;0;4,29;12,12;0,138;19,2;NA
"ANTRAV0175";0,42;0,6;1,23;8,07;59;54,51;59,1;59,1;0,54;2,5;1,81;0,64;0,05;0,26;0,201894704146607;0,01;0,0030441400304414;0,25;0,0564742025842595;39,14;0,2162336846939;5,54;11,24;144,6;0,18;0,05;0,0163078930202218;1,24;0,67;1,9;0,634178905206943;0,25;1,77;0,9722;0,393;0,4761;29,3;0,67;0,03;0,0125;0,0771;0,0409701737135365;70,4;71,7;4,71;4,59;0;5,03;9,61;0,083;10,4;NA
