"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTMRK0177";0,16;0,6;1,09;4,51;38,7;39,77;40,1;40,1;0,05;2,5;4,49;0,53;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,16;0,0361434896539261;22,05;0,0780135343279457;3,27;9,38;88,7;0,18;0,05;0,0163078930202218;0,5;0,08;0,68;0,226969292389853;0,25;1;0,015;0,3927;0,4118;2,4;0,34;0,0125;0,0125;0,0344;0,0409701737135365;2,5;2,5;5,83;5,74;0;0,18;0,29;0,013;1,3;NA
"ANTMRK0204";0,05;0,6;1,06;2,57;36,9;36,03;37,3;37,3;0,05;8,16;3,32;0,74;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;26,47;0,0531648851908715;1,55;1,8;21,4;0,18;0,05;0,0163078930202218;0,5;0,18;0,05;0,0166889185580774;0,25;1,65;0,2513;0,4271;0,4103;1,4;0,27;0,0125;0,0125;0,0976;0,133726647000983;2,5;6,3;5,87;NA;0;0,16;0,31;0,01;1;NA
"ANTMRK0206";1,99;0,6;11,45;48,08;377;343,02;373,8;373,8;0,05;2,5;12,84;3,23;0,125;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;1,47;0,0531648851908715;26,72;8,35;78;0,18;0,05;0,0163078930202218;21,73;0,8;68,04;22,7102803738318;0,25;0,25;0,015;2,7905;2,6923;2,5;0,8;0,0125;0,0125;3e-04;0,0409701737135365;2,5;2,5;3,68;3,71;0;22,13;5,33;0,098;1,8;NA
"ANTOTH0271";0,14;0,6;1,74;9,94;62;62,28;64,3;64,3;0,29;2,5;1,8;0,57;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;18,91;0,0531648851908715;4,45;7,15;54,8;0,18;0,05;0,0163078930202218;1,25;0,23;2,47;0,824432576769025;0,25;0,93;0,015;0,4558;0,535;1,9;0,23;0,0125;0,0125;0,0207;0,0409701737135365;2,5;2,5;4,35;4,188;0;0,3;0,29;0,007;0,6;NA
"ANTOTH0306";0,05;0,6;0,6;2,7;23,4;21,92;24;24;0,05;2,5;2,18;0,46;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;19,43;0,0531648851908715;1,9;7,01;61,6;0,18;0,05;0,0163078930202218;0,5;0,26;0,05;0,0166889185580774;0,25;0,81;0,015;0,2223;0,227;2,7;0,26;0,0125;0,0125;0,0406;0,0409701737135365;2,5;2,5;5,16;4,875;0;0,03;0,08;0,005;0,9;NA
"ANTOTH0324";0,05;0,6;0,52;3,15;27,7;24,44;25,9;25,9;0,05;2,5;0,63;0,24;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;17,27;0,0531648851908715;2,08;9,42;87;0,18;0,05;0,0163078930202218;0,5;0,23;0,05;0,0166889185580774;0,25;0,63;0,015;0,2357;0,2279;2,5;0,23;0,0125;0,0125;0,0142;0,0409701737135365;2,5;2,5;4,79;4,784;0;0,1;0,23;0,002;0,4;NA
"ANTRAV0014";0,05;0,6;2,18;2,09;29,3;29,09;29,5;29,5;0,05;9,75;0,23;1,07;0,01;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;22,25;0,0531648851908715;2,14;6,56;69,1;0,18;0,05;0,0163078930202218;0,5;0,41;0,13;0,0433911882510013;0,1;1,02;0,015;0,3693;0,3191;1,7;0,6;0,0125;0,0125;0,0236;0,159783677482793;10,8;2,5;6,41;6,03;0;0,17;0,58;0,001;0,1;NA
"ANTRAV0052";0,05;0,6;5,97;12,11;129,2;124,11;130,5;130,5;0,05;8,46;6,4;2,57;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;12,27;0,0531648851908715;7,56;0,77;8,6;0,18;0,05;0,0163078930202218;3,08;0,45;6,48;2,16288384512684;0,25;1,13;0,0324;1,1266;1,1383;3,1;0,45;0,0125;0,0125;0,0228;0,138643067846608;2,5;2,5;6,17;6,145;0;5,77;3,37;0,008;0,3;NA
"ANTRAV0122";0,05;0,6;0,93;4,21;31,3;29,15;31,1;31,1;0,05;2,5;2,53;0,53;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;23,01;0,0531648851908715;2,24;6,33;77,5;0,18;0,05;0,0163078930202218;0,5;0,31;0,05;0,0166889185580774;0,25;1,57;0,0741;0,3396;0,2842;2,8;0,72;0,0125;0,0125;0,026;0,0409701737135365;63,2;10,8;5,87;5,688;0;0,01;0,03;0,038;5,9;NA
"ANTRAV0175";0,15;0,6;0,57;4,31;40,3;34,22;40,8;40,8;0,05;2,5;0,72;0,43;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;25,3;0,0531648851908715;2,82;6,24;78,8;0,18;0,05;0,0163078930202218;0,5;0,19;0,25;0,0834445927903872;0,25;1,15;0,015;0,2776;0,3174;2,9;0,19;0,0125;0,0125;0,0549;0,0409701737135365;2,5;2,5;4,33;4,184;0;2,89;6,26;0,024;3,3;NA
"ANTRAV0188";0,27;0,6;2,71;9,95;95,8;90,39;93,6;93,6;0,05;2,5;0,97;0,77;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;3,98;0,0531648851908715;6,23;9,01;88,8;0,18;0,05;0,0163078930202218;4,48;0,2;11,69;3,9018691588785;0,25;0,25;0,015;0,6756;0,6844;3,9;0,2;0,0125;0,0125;-0,0014;0,0409701737135365;2,5;2,5;4,23;NA;0;2,16;2,16;0,001;0,1;NA
"ANTRAV0208";0,05;0,6;2,19;14,3;92,9;87,77;93,2;93,2;0,19;2,5;4,67;1,44;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;15,7;0,0531648851908715;7,77;3,69;33,7;0,18;0,05;0,0163078930202218;2,93;0,31;6,81;2,27303070761015;0,25;1,06;0,015;0,7508;0,7479;2,6;0,31;0,0125;0,0125;0,0181;0,0409701737135365;2,5;2,5;5;4,802;0;0,72;0,67;0,003;0,2;NA
"ANTRAV0211";0,05;0,6;11,11;11,81;131;126,15;132,4;132,4;0,05;12,07;2,7;2,55;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;7,63;0,0531648851908715;8,4;10,45;97;0,18;0,05;0,0163078930202218;6,21;0,72;18,05;6,02469959946596;0,25;0,25;0,015;1,1902;1,2068;6,7;0,8;0,0125;0,0125;0,0061;0,197803998688954;2,5;2,5;7,03;6,925;0;4,83;3,08;0,007;0,2;NA
"ANTRAV0230";0,05;0,6;1,53;4,9;35,7;34,85;35;35;0,05;2,5;0,68;0,43;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;6,8;0,0531648851908715;3,06;8,85;95,6;0,18;0,05;0,0163078930202218;1,65;0,65;3,91;1,30507343124166;0,25;0,58;0,015;0,2853;0,2895;4,3;0,65;0,0125;0,0125;0,0031;0,0409701737135365;2,5;2,5;5;NA;0;0,07;0,19;0;0;NA
"ANTRAV0293";0,17;0,6;2,6;2,25;75,2;73,65;73,8;73,8;0,21;2,5;2,87;1,26;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,11;0,0248486491370742;5,06;0,0689776619144642;2,17;5,36;71,5;0,18;0,05;0,0163078930202218;2,7;0,06;6,39;2,1328437917223;0,25;0,25;0,015;0,6582;0,6917;3,7;0,11;0,0125;0,0125;0,0021;0,0409701737135365;2,5;2,5;3,56;3,469;0;0,15;0,19;0,033;0,8;NA
"ANTTUR0018";0,05;0,6;0,31;4,84;35,5;33,99;35,2;35,2;0,05;2,5;0,43;0,3;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,11;0,0248486491370742;9,43;0,0667186938110938;3,21;7,29;93,7;0,18;0,05;0,0163078930202218;1,03;0,2;1,67;0,557409879839786;0,25;0,25;0,015;0,2432;0,2713;3,8;0,2;0,0125;0,0125;0,0075;0,0409701737135365;2,5;2,5;4,31;4,17;0;1,2;2,23;0,001;0,1;NA
"ANTTUR0022";0,05;0,6;0,28;4,92;35,2;33,23;34,9;34,9;0,05;2,5;1,48;0,28;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;18,76;0,0644597257077234;3,02;8,14;72,5;0,18;0,05;0,0163078930202218;0,5;0,27;0,22;0,0734312416555407;0,25;0,67;0,015;0,2614;0,3103;2;0,27;0,0125;0,0125;0,0334;0,0409701737135365;2,5;2,5;4,71;4,57;0;1,67;4,79;0,01;1,5;NA
"ANTTUR0046";0,05;0,6;1,03;4,1;24,3;24,24;23,9;23,9;0,05;2,5;0,48;0,54;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;10,08;0,0531648851908715;2,35;5,84;72,3;0,18;0,05;0,0163078930202218;0,5;0,22;0,11;0,0367156208277704;0,25;0,56;0,015;0,2413;0,2344;4,1;0,22;0,0125;0,0125;0,0186;0,0409701737135365;7,7;2,5;5,31;5,3;0;0,06;0,23;0;0;NA
"ANTTUR0065";0,05;0,6;3,68;13,47;112,5;105,15;110,3;111,3;0,05;2,5;1,73;1,5;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,13;0,0293665853438149;8,76;0,0712366300178345;7,99;8,35;90,3;0,18;0,05;0,0163078930202218;3,19;0,31;8,13;2,71361815754339;0,25;0,52;0,015;0,7813;0,7945;4,6;0,43;0,0125;0,0125;0,0052;0,0409701737135365;2,5;2,5;4,37;4,258;0;0,11;0,08;0,005;0,1;NA
