"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTMRK0177";0,325;0,6;2,1;13,065;82;81,3883333333333;84,9;84,9;0,13;8,455;10,7583333333333;0,728333333333333;0,065;0,133333333333333;0,103535745716208;0,01;0,0030441400304414;0,968333333333333;0,218743411343032;61,0533333333333;0,325323297089682;6,88;11,1933333333333;126,616666666667;0,18;0,05;0,0163078930202218;1,485;0,416666666666667;1,63666666666667;0,546283934134401;0,25;4,28666666666667;0,2707;0,867766666666667;0,7784;21,2;0,701666666666667;0,0825833333333333;0,0125;0,049;0,13856112749918;436,233333333333;171,15;5,98333333333333;6,62333333333333;0;3,51166666666667;4,45333333333333;0,103166666666667;4,83333333333333;NA
"ANTMRK0204";0,29;0,6;2,23166666666667;4,37;51,6833333333333;50,1316666666667;51,7666666666667;51,7666666666667;0,241666666666667;11,1933333333333;5,26666666666667;1,445;0,0933333333333333;0,933333333333333;0,72475022001346;0,0133333333333333;0,00405885337392187;0,18;0,0406614258606668;46,8383333333333;0,769470499248049;2,58333333333333;8,225;89,75;0,18;0,948333333333333;0,309306370950206;0,608333333333333;0,388333333333333;0,335;0,111815754339119;0,298333333333333;3,34;0,627183333333333;0,58495;0,5633;20,3;0,613333333333333;0,0190833333333333;0,0125;0,144166666666667;0,183437124440074;158,366666666667;87,5833333333333;6,11833333333333;6,2488;0;3,06833333333333;5,74333333333333;0,0363333333333333;3,23333333333333;NA
"ANTMRK0206";4,29666666666667;0,6;16,0666666666667;59,5733333333333;463,166666666667;432,896666666667;462,316666666667;462,316666666667;0,3;2,5;15,2016666666667;4,34333333333333;0,178333333333333;0,0716666666666667;0,055650463322462;0,01;0,0030441400304414;0,39;0,0880997560314449;2,91833333333333;0,146794359384348;31,9866666666667;9,74;108,283333333333;0,18;0,05;0,0163078930202218;31,0916666666667;1,14166666666667;92,905;31,0096795727637;0,855;0,368333333333333;0,0328166666666667;3,62665;3,419;20,7666666666667;1,14166666666667;0,0125;0,0125;0,00413333333333333;0,0409701737135365;8,68333333333333;4,01666666666667;3,86833333333333;3,98033333333333;0,116666666666667;29,42;6,28333333333333;0,207833333333333;2,93333333333333;NA
"ANTOTH0271";0,298;0,6;3,054;15,99;93,42;88,79;93,56;93,56;0,794;2,5;2,312;0,8;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,296;0,0668654558597632;28,048;0,108735500533783;8,358;9,042;100,08;0,18;0,05;0,0163078930202218;2,468;0,378;5,844;1,95060080106809;0,986;1,614;0,02;0,67908;0,72698;20,68;0,378;0,0162;0,0125;0,03872;0,0409701737135365;16,36;12,64;4,516;4,3286;0;4,77;5,032;0,048;3,36;NA
"ANTOTH0306";0,144;0,6;1,26;5,554;42,96;40,858;43,54;43,54;0,312;4,104;3,758;0,752;0,064;0,05;0,0388259046435782;0,01;0,0030441400304414;0,484;0,109334056203127;27,298;0,151204100877146;3,886;9,82;106;0,18;0,05;0,0163078930202218;0,788;0,504;0,896;0,299065420560748;0,308;1,46;0,0655;0,39432;0,41836;19,24;0,504;0,0156;0,0125;0,0545;0,0672566371681417;30,76;11,38;5,728;5,6852;0;2,682;6,298;0,0242;3,3;NA
"ANTOTH0324";0,146666666666667;0,6;1,305;10,815;54,9833333333333;53,1333333333333;56,1666666666667;56,1666666666667;0,0833333333333333;2,5;2,775;0,715;0,06;0,175;0,135890666252524;0,01;0,0030441400304414;0,321666666666667;0,0726634739917472;26,3783333333333;0,211598280274712;6,00666666666667;10,8633333333333;122,233333333333;0,18;0,05;0,0163078930202218;0,5;0,566666666666667;0,448333333333333;0,149643969737428;0,25;2,15333333333333;0,0662333333333333;0,465966666666667;0,489583333333333;19,9166666666667;0,566666666666667;0,0125;0,0125;0,0347666666666667;0,0409701737135365;24,5833333333333;11,3;5,21833333333333;5,13666666666667;0;3,03333333333333;5,94;0,027;2,75;NA
"ANTRAV0014";0,241666666666667;0,6;3,14833333333333;2,78333333333333;39,04;39,985;39,9166666666667;39,9166666666667;0,128333333333333;13,5216666666667;0,69;1,75666666666667;0,0316666666666667;0,065;0,0504736760366517;0,01;0,0030441400304414;0,095;0,0214601969820186;34,4266666666667;0,0749780130491117;2,78833333333333;9,496;107,74;0,18;0,05;0,0163078930202218;0,5;0,6;0,345;0,115153538050734;0,386666666666667;1,57;0,0344666666666667;0,4917;0,4666;21,14;0,793333333333333;0,0125;0,0125;0,0648666666666667;0,221594012891948;34,9333333333333;13,2666666666667;6,68833333333333;6,8424;0;1,855;4,72833333333333;0,048;5,3;NA
"ANTRAV0052";0,06;0,6;9,06333333333333;19,5333333333333;167,45;158,818333333333;167,1;167,1;0,49;24,7133333333333;10,755;3,63;0,0583333333333333;0,17;0,132008075788166;0,01;0,0030441400304414;0,141666666666667;0,0320020481310804;23,195;0,167054263949688;9,98833333333333;5,48;55,4666666666667;0,18;0,05;0,0163078930202218;6,62166666666667;0,676666666666667;18,4483333333333;6,15765465064531;0,25;1,625;0,108166666666667;1,46365;1,49418333333333;18,1333333333333;0,676666666666667;0,0125;0,0125;0,0454666666666667;0,40500382388288;10,4;11,95;6,65666666666667;6,5675;0;8,28166666666667;4,90833333333333;0,0305;1;NA
"ANTRAV0122";0,05;0,6;1,056;4,644;33,02;30,904;33,32;33,32;0,05;3,734;2,81;0,572;0,05;0,19;0,147538437645597;0,01;0,0030441400304414;0,18;0,0406614258606669;33,79;0,191244003536705;2,706;11,51;128,3;0,18;0,05;0,0163078930202218;0,5;0,362;0,05;0,0166889185580774;0,25;2,15;0,20088;0,38618;0,30664;21,44;0,826;0,0444;0,0125;0,0333;0,0611930514585382;128,38;67,86;6,14;6,9374;0;2,416;7,204;0,0796;11,38;NA
"ANTRAV0175";0,34;0,6;1,03166666666667;5,79;49,3833333333333;44,9516666666667;48,95;48,95;0,408333333333333;2,5;1,135;0,551666666666667;0,05;0,085;0,066004037894083;0,01;0,0030441400304414;0,151666666666667;0,0342610162344507;33,74;0,103309194158975;3,95166666666667;10,14;118,816666666667;0,18;0,05;0,0163078930202218;0,848333333333333;0,425;1,33833333333333;0,446706720071206;0,25;1,61666666666667;0,174533333333333;0,312816666666667;0,379133333333333;23,75;0,425;0,0154166666666667;0,0125;0,07005;0,0409701737135365;22,3833333333333;15,4833333333333;4,45833333333333;4,30166666666667;0;3,99833333333333;8,15166666666667;0,0663333333333333;9,56666666666667;NA
"ANTRAV0188";0,481666666666667;0,6;5,01;17,965;133,283333333333;126,101666666667;132,933333333333;132,933333333333;0,075;2,5;3,025;1,28166666666667;0,0766666666666667;0,05;0,0388259046435782;0,01;0,0030441400304414;0,135;0,0304960693955001;9,53833333333333;0,0723661140695197;10,2633333333333;9,78666666666667;110,2;0,18;0,05;0,0163078930202218;7,28;0,493333333333333;19,9466666666667;6,65776591010236;0,756666666666667;0,71;0,0381666666666667;0,95625;0,96595;21,2833333333333;0,493333333333333;0,0125;0,0125;0,0103333333333333;0,0409701737135365;7,23333333333333;2,5;4,37166666666667;4,3;0;6,83166666666667;5;0,01;0,5;NA
"ANTRAV0208";0,258333333333333;0,6;3,07833333333333;19,1366666666667;115,083333333333;111,975;115,166666666667;115,166666666667;1,59;4,91666666666667;6,54666666666667;1,84;0,105;0,236666666666667;0,18377594864627;0,01;0,0030441400304414;0,411666666666667;0,0929941869220806;26,495;0,279814275598792;10,415;5,37333333333333;60,9333333333333;0,18;0,05;0,0163078930202218;3,85333333333333;0,586666666666667;9,715;3,24265687583445;0,35;1,82333333333333;0,248783333333333;0,9594;1,02228333333333;22,75;0,586666666666667;0,0125;0,0125;0,05995;0,0805746749699553;9,36666666666667;5,68333333333333;5,69333333333333;5,57683333333333;0;3,19166666666667;2,81333333333333;0,063;3,03333333333333;NA
"ANTRAV0211";0,05;0,6;14,69;16,6685714285714;181,528571428571;170,872857142857;179,785714285714;179,785714285714;0,0928571428571429;25,9957142857143;3,98571428571429;3,27428571428571;0,05;0,1;0,0776518092871565;0,01;0,0030441400304414;1,43428571428571;0,324000567969123;14,9557142857143;0,40469651728672;11,4057142857143;11,3042857142857;129,728571428571;0,18;0,05;0,0163078930202218;9,67285714285714;1,01857142857143;29,6342857142857;9,89128361625024;0,25;1,33142857142857;0,186171428571429;1,61691428571429;1,61318571428571;22,0142857142857;1,10285714285714;0,0125;0,0125;0,0110428571428571;0,426019572037271;9,88571428571429;6,22857142857143;7,82428571428571;8,66371428571428;0;8,91285714285714;4,92571428571429;0,0315714285714286;0,985714285714286;NA
"ANTRAV0230";0,257142857142857;0,6;2,75142857142857;8,28571428571429;56,5571428571429;55,2242857142857;56,8571428571429;56,8571428571429;0,05;2,5;1,37428571428571;0,69;0,0685714285714286;0,05;0,0388259046435782;0,01;0,0030441400304414;0,212857142857143;0,0480837496288838;13,4614285714286;0,0899537943029034;4,89857142857143;9,53142857142857;108,228571428571;0,18;0,05;0,0163078930202218;2,90142857142857;0,867142857142857;7,50142857142857;2,50381460995613;0,25;1,70142857142857;0,1805;0,465457142857143;0,472942857142857;21,9428571428571;0,867142857142857;0,0125;0,0125;0,0076;0,0409701737135365;15,7285714285714;4,97142857142857;5,37142857142857;5,38;0;1,63285714285714;2,68428571428571;0,0108571428571429;1,34285714285714;NA
"ANTRAV0293";0,2475;0,6;8,5425;4,79;94,775;94,6375;94,625;94,625;3,2675;10,36;3,2725;2,5775;0,0675;0,0725;0,0562975617331884;0,01;0,0030441400304414;0,2325;0,0525210084033614;41,2125;0,111862710166991;3,955;8,5575;94,475;0,18;0,05;0,0163078930202218;6,74;0,335;17,135;5,71929238985314;1,785;2,325;0,3433;0,867275;1,037825;21,725;0,395;0,0125;0,0125;0,127525;0,169780399868896;8,525;10;5,895;5,75275;0;2,1975;1,9675;0,1705;7,9;NA
"ANTTUR0018";0,292857142857143;0,6;1,13714285714286;10,1457142857143;65,8142857142857;62,83;65,4714285714286;65,4714285714286;0,21;2,5;1,66142857142857;0,674285714285714;0,05;0,08;0,0621214474297252;0,01;0,0030441400304414;0,514285714285714;0,116175502459048;16,5214285714286;0,181341089919215;5,75714285714286;9,41571428571429;108,7;0,18;0,05;0,0163078930202218;2,12142857142857;0,371428571428571;4,70571428571429;1,57066564943734;0,502857142857143;1,10428571428571;0,029;0,451628571428571;0,472285714285714;23,0714285714286;0,428571428571429;0,0125;0,0125;0,0213857142857143;0,0409701737135365;4,75714285714286;4,04285714285714;4,48714285714286;4,32285714285714;0;2,64142857142857;4,13285714285714;0,0208571428571429;3,08571428571429;NA
"ANTTUR0022";0,243333333333333;0,6;0,628333333333333;7,475;45,0666666666667;42,4216666666667;45,3;45,3;0,15;2,5;2,93833333333333;0,46;0,05;0,0616666666666667;0,0478852823937464;0,01;0,0030441400304414;0,161666666666667;0,0365199843378212;25,7383333333333;0,087449406762009;4,64833333333333;9,83;108,883333333333;0,18;0,05;0,0163078930202218;0,78;0,408333333333333;1,02833333333333;0,343235425011126;0,25;1,2;0,0509833333333333;0,350766666666667;0,386216666666667;21,3666666666667;0,408333333333333;0,0125;0,0125;0,04575;0,0409701737135365;21;16,35;4,94333333333333;4,77916666666667;0,0166666666666667;2,87833333333333;6,31833333333333;0,0356666666666667;5,03333333333333;NA
