"";"codeplas";"HabtypeVel"
"1";"ANTRAV0369";"3130_aom"
"35";"ANTRAV0297";"3130_aom;3160"
"69";"ANTARE0025";"3130_aom"
"103";"ANTRAV0293";"3130_aom"
"137";"ANTRAV0230";"3130_aom;3160; 3130_na"
"171";"ANTARE0309";"3130_na;3140"
"205";"ANTTUR0257";"3130_aom"
"241";"ANTTUR0022";"3130_aom"
"277";"ANTMRK0206";"gh"
"313";"ANTMRK0204";"gh"
"349";"ANTTUR0082";"-"
"385";"ANTTUR0077";"3130_aom"
"421";"ANTTUR0299";"3130_aom"
"457";"ANTTUR0295";"3130_aom"
"493";"ANTTUR0300";"3130_aom"
"529";"ANTTUR0302";"3130_aom"
"565";"ANTTUR0674";"-"
"601";"ANTTUR0270";"-"
"708";"ANTTUR0282";"3130_aom"
"744";"ANTTUR0297";"3130_aom"
"780";"ANTTUR0292";"3130_aom"
"816";"ANTOTH0306";"3130_aom"
"852";"ANTOTH0324";"3130_aom"
"888";"ANTOTH0271";"3160"
"924";"ANTTUR0273";"-"
"960";"ANTRAV0014";"3130_aom"
"996";"ANTRAV0122";"-"
"1032";"ANTRAV0052";"3130_aom;3130_na"
"1068";"ANTRAV0175";"3160"
"1104";"ANTRAV0208";"-"
"1140";"ANTRAV0211";"3130_aom;3110"
"1305";"ANTBAA0036";"3130_aom;3140"
"1307";"ANTRAV0381";"3150"
"1381";"ANTOTH0015";"3130_aom"
"1538";"ANTTUR0094";"gh"
"1549";"ANTRAV0296";"3130_aom;3160"
"1551";"ANTTUR0296";"3110;3130_aom;3130_na;3160"
"1555";"ANTOTH0270";"3160"
"1569";"ANTTUR0065";"3130aom, 3130_na"
"1606";"ANTTUR0301";"3130_aom"
"1643";"ANTTUR0304";"3130_aom;3130_na"
"5475";"ANTTUR0304";"3110;3130_aom;3130_na"
"5506";"ANTTUR0287";"gh"
"7125";"ANTTUR0018";"-"
"7197";"ANTTUR0305";"gh"
"7233";"ANTMRK0177";"3130_aom"
"7341";"ANTTUR0277";"3130_aom"
"7377";"ANTTUR0046";"3130_aom, 3130__na"
"7449";"ANTRAV0188";"gh"
"7977";"ANTTUR0079";"-"
"27271";"ANTTUR0082";"3130_aom"
"27281";"ANTTUR0065";"3130_aom;3130_na"
