"";"codeplas";"pH_min";"pH_max";"pH_bereik"
"1";"ANTMRK0177";5,74;7,48;"5.74 - 7.48"
"2";"ANTMRK0204";5,615;6,91;"5.615 - 6.91"
"3";"ANTMRK0206";3,71;4,67;"3.71 - 4.67"
"4";"ANTOTH0271";4,188;4,53;"4.188 - 4.53"
"5";"ANTOTH0306";4,875;6,2;"4.875 - 6.2"
"6";"ANTOTH0324";4,784;5,816;"4.784 - 5.816"
"7";"ANTRAV0014";6,03;7,708;"6.03 - 7.708"
"8";"ANTRAV0052";6,145;7,331;"6.145 - 7.331"
"9";"ANTRAV0122";5,688;8,545;"5.688 - 8.545"
"10";"ANTRAV0175";4,184;4,59;"4.184 - 4.59"
"11";"ANTRAV0188";4,128;6,2;"4.128 - 6.2"
"12";"ANTRAV0208";4,802;5,986;"4.802 - 5.986"
"13";"ANTRAV0211";6,925;9,729;"6.925 - 9.729"
"14";"ANTRAV0230";4,96;6,705;"4.96 - 6.705"
"15";"ANTRAV0293";3,469;6,53;"3.469 - 6.53"
"16";"ANTTUR0018";4,17;6,966;"4.17 - 6.966"
"17";"ANTTUR0022";4,57;5,215;"4.57 - 5.215"
"18";"ANTTUR0046";5,3;6,4;"5.3 - 6.4"
"19";"ANTTUR0065";4,258;7,54;"4.258 - 7.54"
"20";"ANTTUR0077";5,812;7,135;"5.812 - 7.135"
"21";"ANTTUR0079";6,34;8,697;"6.34 - 8.697"
"22";"ANTTUR0082";6,68;8,23;"6.68 - 8.23"
"23";"ANTTUR0094";4,289;5,895;"4.289 - 5.895"
"24";"ANTTUR0257";5,01;5,57;"5.01 - 5.57"
"25";"ANTTUR0270";6,751;8,308;"6.751 - 8.308"
"26";"ANTTUR0273";5,579;6,339;"5.579 - 6.339"
"27";"ANTTUR0277";5,531;7,742;"5.531 - 7.742"
"28";"ANTTUR0282";5,085;6,79;"5.085 - 6.79"
"29";"ANTTUR0287";6,79;8,854;"6.79 - 8.854"
"30";"ANTTUR0292";5,38;7,692;"5.38 - 7.692"
"31";"ANTTUR0295";4,68;4,956;"4.68 - 4.956"
"32";"ANTTUR0296";5,209;6,268;"5.209 - 6.268"
"33";"ANTTUR0297";4,51;5,31;"4.51 - 5.31"
"34";"ANTTUR0299";6,15;7,67;"6.15 - 7.67"
"35";"ANTTUR0300";6,04;7,71;"6.04 - 7.71"
"36";"ANTTUR0301";3,57;6,742;"3.57 - 6.742"
"37";"ANTTUR0302";5,67;6,97;"5.67 - 6.97"
"38";"ANTTUR0304";4,329;6,371;"4.329 - 6.371"
"39";"ANTTUR0305";5,74;6,95;"5.74 - 6.95"
"40";"ANTTUR0674";5,8;7,278;"5.8 - 7.278"
