"","codeplas","watertype"
"1","ANTMRK0204","Zm"
"2","ANTTUR0094","Zm"
"3","ANTTUR0305","Zm"
"4","ANTMRK0177","Zm"
"5","ANTRAV0014","Czb"
"6","ANTRAV0175","Zs"
"7","ANTRAV0188","Zm"
"8","ANTRAV0208","Zm"
"9","ANTTUR0022","Zm"
"10","ANTTUR0046","Zm"
"11","ANTTUR0270","Czb"
"12","ANTTUR0277","Zm"
"13","ANTTUR0282","Zm"
"14","ANTTUR0287","Czb"
"15","ANTTUR0295","Zm"
"16","ANTTUR0300","Zm"
"17","ANTTUR0302","Zm"
"18","ANTMRK0206","Zs"
"19","ANTTUR0018","Zs"
"20","ANTTUR0077","Zm"
"21","ANTTUR0079","Czb"
"22","ANTTUR0273","Zm"
"23","ANTTUR0292","Zm"
"24","ANTTUR0297","Zm"
"25","ANTTUR0299","Zm"
"26","ANTRAV0122","Zm"
"27","ANTRAV0381","Ami"
"28","ANTRAV0211","Aw-om"
"29","ANTTUR0065","Zm"
"30","ANTTUR0082","Zm"
"31","ANTOTH0015","Zm"
"32","ANTRAV0052","Czb"
"33","ANTARE0025","Zm"
"34","ANTRAV0230","Zm"
"35","ANTTUR0257","Zm"
"36","ANTARE0309","Cb"
"37","ANTRAV0293","Zm"
"38","ANTRAV0296","Zs"
"39","ANTRAV0297","Zm"
"40","ANTTUR0296","Zm"
"41","ANTTUR0301","Zm"
"42","ANTTUR0304","Zm"
"43","ANTOTH0270","Zs"
"44","ANTOTH0271","Zs"
"45","ANTBAA0036","CFe"
"46","ANTOTH0306","Zm"
"47","ANTRAV0369","Czb"
"48","ANTOTH0324","Zm"
"49","ANTTUR0674","Cb"
