"";"codeplas";"pH_min";"pH_max";"pH_bereik"
"1";"ANTARE0025";7,01;7,762;"7.01 - 7.762"
"2";"ANTARE0309";6,211;8,515;"6.211 - 8.515"
"3";"ANTBAA0036";6,47;7,685;"6.47 - 7.685"
"4";"ANTMRK0177";5,74;7,48;"5.74 - 7.48"
"5";"ANTMRK0204";5,615;6,91;"5.615 - 6.91"
"6";"ANTMRK0206";3,71;4,67;"3.71 - 4.67"
"7";"ANTOTH0015";6,042;6,292;"6.042 - 6.292"
"8";"ANTOTH0270";3,22;4,789;"3.22 - 4.789"
"9";"ANTOTH0271";4,188;5,1;"4.188 - 5.1"
"10";"ANTOTH0306";4,64;6,96;"4.64 - 6.96"
"11";"ANTOTH0324";4,784;5,816;"4.784 - 5.816"
"12";"ANTRAV0014";6,03;7,708;"6.03 - 7.708"
"13";"ANTRAV0052";5,45;8,127;"5.45 - 8.127"
"14";"ANTRAV0122";5,688;8,545;"5.688 - 8.545"
"15";"ANTRAV0175";4,184;4,59;"4.184 - 4.59"
"16";"ANTRAV0188";4,128;6,2;"4.128 - 6.2"
"17";"ANTRAV0208";4,802;5,986;"4.802 - 5.986"
"18";"ANTRAV0211";6,925;9,729;"6.925 - 9.729"
"19";"ANTRAV0230";4,96;6,705;"4.96 - 6.705"
"20";"ANTRAV0293";3,122;6,53;"3.122 - 6.53"
"21";"ANTRAV0296";3,928;5,495;"3.928 - 5.495"
"22";"ANTRAV0297";4,531;5,689;"4.531 - 5.689"
"23";"ANTRAV0369";5,968;7,434;"5.968 - 7.434"
"24";"ANTRAV0381";6,985;8,22;"6.985 - 8.22"
"25";"ANTTUR0018";4,17;6,966;"4.17 - 6.966"
"26";"ANTTUR0022";4,57;5,215;"4.57 - 5.215"
"27";"ANTTUR0046";5,3;6,4;"5.3 - 6.4"
"28";"ANTTUR0065";4,258;7,54;"4.258 - 7.54"
"29";"ANTTUR0077";5,812;7,135;"5.812 - 7.135"
"30";"ANTTUR0079";6,34;8,697;"6.34 - 8.697"
"31";"ANTTUR0082";6,68;9,134;"6.68 - 9.134"
"32";"ANTTUR0094";4,289;6,09;"4.289 - 6.09"
"33";"ANTTUR0257";5,01;5,57;"5.01 - 5.57"
"34";"ANTTUR0270";6,751;8,308;"6.751 - 8.308"
"35";"ANTTUR0273";5,579;6,339;"5.579 - 6.339"
"36";"ANTTUR0277";5,531;7,742;"5.531 - 7.742"
"37";"ANTTUR0282";5,085;6,79;"5.085 - 6.79"
"38";"ANTTUR0287";6,79;8,854;"6.79 - 8.854"
"39";"ANTTUR0292";5,38;7,692;"5.38 - 7.692"
"40";"ANTTUR0295";4,68;4,956;"4.68 - 4.956"
"41";"ANTTUR0296";4,444;7,289;"4.444 - 7.289"
"42";"ANTTUR0297";4,51;5,31;"4.51 - 5.31"
"43";"ANTTUR0299";6,15;7,67;"6.15 - 7.67"
"44";"ANTTUR0300";6,04;7,71;"6.04 - 7.71"
"45";"ANTTUR0301";3,57;6,742;"3.57 - 6.742"
"46";"ANTTUR0302";5,67;6,97;"5.67 - 6.97"
"47";"ANTTUR0304";4,329;6,371;"4.329 - 6.371"
"48";"ANTTUR0305";5,74;6,95;"5.74 - 6.95"
"49";"ANTTUR0674";5,8;7,278;"5.8 - 7.278"
